interval_ms,run_index,latency_ms,discovery_scans,schedule_passes,status
50,1,71,2,2,MEASURED
50,2,74,2,2,MEASURED
50,3,63,2,2,MEASURED
50,4,80,2,2,MEASURED
50,5,60,2,2,MEASURED
100,1,85,2,5,MEASURED
100,2,112,2,5,MEASURED
100,3,116,2,5,MEASURED
100,4,98,2,5,MEASURED
100,5,90,2,5,MEASURED
250,1,242,2,23,MEASURED
250,2,246,2,23,MEASURED
250,3,246,2,24,MEASURED
250,4,256,2,24,MEASURED
250,5,257,2,24,MEASURED
500,1,506,2,53,MEASURED
500,2,513,2,53,MEASURED
500,3,509,2,52,MEASURED
500,4,497,2,53,MEASURED
500,5,507,2,54,MEASURED
1000,1,1005,2,111,MEASURED
1000,2,1003,2,111,MEASURED
1000,3,1004,2,112,MEASURED
1000,4,1016,2,112,MEASURED
1000,5,1015,2,111,MEASURED
