interval_ms,mode,metric,count,mean,median,min,max,stddev,status
50,BASELINE,benchmark_elapsed_ms,5,1200.316,1200.244,1200.135,1200.713,0.228,MEASURED
50,BASELINE,benchmark_throughput_ops_sec,5,15797229.051,15880447.508,15303116.166,16154198.653,352547.529,MEASURED
50,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,BASELINE,discovery_scans,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,BASELINE,discovery_mean_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
50,INTEGRATED,benchmark_elapsed_ms,5,1200.256,1200.150,1200.121,1200.567,0.189,MEASURED
50,INTEGRATED,benchmark_throughput_ops_sec,5,14521605.679,14349061.955,13893268.548,15079802.660,497572.732,MEASURED
50,INTEGRATED,runtime_cpu_percent,5,68.311,67.927,67.427,69.916,0.987,MEASURED
50,INTEGRATED,runtime_rss_kb,5,4816.800,4820.000,4704.000,4888.000,69.536,MEASURED
50,INTEGRATED,discovery_scans,5,14.600,15.000,14.000,15.000,0.548,MEASURED
50,INTEGRATED,discovery_total_us,5,829221.408,830820.603,809498.601,851300.207,16704.117,MEASURED
50,INTEGRATED,discovery_mean_us,5,56883.447,55863.370,53966.573,60807.158,3041.016,MEASURED
50,INTEGRATED,runtime_cycle_total_us,5,1262712.783,1255670.381,1250584.368,1277074.013,12917.536,MEASURED
100,BASELINE,benchmark_elapsed_ms,5,1200.542,1200.212,1200.184,1201.089,0.468,MEASURED
100,BASELINE,benchmark_throughput_ops_sec,5,15575014.989,15589715.438,15140640.381,15848714.923,297473.610,MEASURED
100,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,BASELINE,discovery_scans,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,BASELINE,discovery_mean_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
100,INTEGRATED,benchmark_elapsed_ms,5,1200.317,1200.248,1200.133,1200.602,0.196,MEASURED
100,INTEGRATED,benchmark_throughput_ops_sec,5,14337437.281,14900252.314,12772617.640,15339151.153,1122909.588,MEASURED
100,INTEGRATED,runtime_cpu_percent,5,50.675,49.010,45.738,55.416,4.108,MEASURED
100,INTEGRATED,runtime_rss_kb,5,4757.600,4724.000,4632.000,4896.000,105.436,MEASURED
100,INTEGRATED,discovery_scans,5,11.000,11.000,11.000,11.000,0.000,MEASURED
100,INTEGRATED,discovery_total_us,5,607672.806,584682.259,540077.600,704630.556,71263.559,MEASURED
100,INTEGRATED,discovery_mean_us,5,55242.982,53152.933,49097.964,64057.323,6478.505,MEASURED
100,INTEGRATED,runtime_cycle_total_us,5,1250201.212,1259451.121,1226563.479,1263691.424,16683.255,MEASURED
250,BASELINE,benchmark_elapsed_ms,5,1200.546,1200.584,1200.136,1201.140,0.404,MEASURED
250,BASELINE,benchmark_throughput_ops_sec,5,16035015.092,15420441.472,15327543.939,18427998.519,1344607.682,MEASURED
250,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
250,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
250,BASELINE,discovery_scans,0,NA,NA,NA,NA,NA,UNAVAILABLE
250,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
250,BASELINE,discovery_mean_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
