configuration,run_id,application_count,worker_count,application_index,app_id,completed_cycles,mean_queue_wait_us,max_queue_wait_us,mean_evaluation_interval_ms,max_evaluation_interval_ms,starvation_evidence,jain_fairness_index,status
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-4-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-5-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-6-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-7-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-8-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=2;mode=INTEGRATED,primary-a1-w2-measured-4-integrated,1,2,0,APP_271291_47803695,4.000,158.973,747.944,1031.971,1040.076,NONE,1.000,MEASURED
apps=1;workers=2;mode=INTEGRATED,primary-a1-w2-measured-5-integrated,1,2,0,APP_271312_47805037,4.000,176.709,950.152,1040.062,1048.503,NONE,1.000,MEASURED
apps=1;workers=2;mode=INTEGRATED,primary-a1-w2-measured-6-integrated,1,2,0,APP_271330_47805565,4.000,335.962,3266.481,1041.236,1049.872,NONE,1.000,MEASURED
apps=1;workers=2;mode=INTEGRATED,primary-a1-w2-measured-7-integrated,1,2,0,APP_271361_47806936,4.000,388.990,3145.304,1037.487,1041.635,NONE,1.000,MEASURED
apps=1;workers=2;mode=INTEGRATED,primary-a1-w2-measured-8-integrated,1,2,0,APP_271383_47807465,4.000,450.550,4497.063,1050.593,1051.744,NONE,1.000,MEASURED
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-4-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-4-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-5-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-5-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-6-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-6-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-7-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-7-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-8-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-8-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-4-integrated,2,2,0,APP_271531_47811599,4.000,650.372,4122.028,1065.252,1071.935,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-4-integrated,2,2,1,APP_271532_47811599,4.000,1416.994,9199.657,1061.438,1070.452,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-5-integrated,2,2,0,APP_271572_47813123,4.000,622.875,4675.916,1050.655,1059.644,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-5-integrated,2,2,1,APP_271573_47813123,4.000,1537.059,9395.870,1056.035,1074.073,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-6-integrated,2,2,0,APP_271603_47813667,4.000,576.437,5580.874,1078.526,1086.690,NONE,0.988,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-6-integrated,2,2,1,APP_271604_47813667,5.000,917.503,4924.643,1057.306,1090.715,NONE,0.988,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-7-integrated,2,2,0,APP_271652_47815152,4.000,361.529,2671.081,1058.955,1071.052,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-7-integrated,2,2,1,APP_271653_47815152,4.000,549.890,3002.697,1062.169,1070.341,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-8-integrated,2,2,0,APP_271683_47815687,4.000,236.589,917.041,1060.046,1078.767,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-8-integrated,2,2,1,APP_271684_47815687,4.000,573.390,3314.962,1062.354,1074.598,NONE,1.000,MEASURED
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-5-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
