timestamp,run_id,run_type,mode,application_count,worker_count,application_index,app_id,pid,start_time_ticks,workload,threads,memory_mb,iterations,seed,launch_monotonic_ns,launch_skew_us,benchmark_elapsed_ms,benchmark_throughput,benchmark_cpu_percent,benchmark_rss_kb,benchmark_vms_kb,aggregate_throughput,group_makespan_ms,runtime_cpu_percent,runtime_cpu_peak_percent,runtime_rss_kb,runtime_vms_kb,runtime_tree_cpu_percent,runtime_tree_rss_kb,runtime_tree_vms_kb,monitor_submissions,monitor_completions,pipeline_completions,mean_queue_wait_us,median_queue_wait_us,max_queue_wait_us,mean_eligibility_wait_us,max_eligibility_wait_us,mean_worker_execution_us,mean_phase3_us,mean_pipeline_serial_wait_us,max_pipeline_serial_wait_us,mean_phase4_us,mean_phase5_us,mean_phase6_us,mean_completion_latency_us,max_completion_latency_us,max_queue_depth,deferred_jobs,saturation_events,discovery_scan_count,discovery_total_us,discovery_mean_us,runtime_cycle_total_us,evaluation_interval_observed_ms,max_evaluation_interval_observed_ms,eligible_opportunities,status,outcome,notes
2026-09-02T10:54:19Z,primary-a1-w2-warmup-1-baseline,WARMUP,BASELINE,1,2,0,NA,387803,68301399,mixed,1,8,17841231,12345,311648995417016,0.000,1260.182,14157661.057,99.315,9960.000,19212.000,14054013.344,1269.476,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA,0,0,0,NA,NA,NA,,NA,,MEASURED,NOT_RUN,
2026-09-02T10:54:22Z,primary-a1-w2-warmup-1-integrated,WARMUP,INTEGRATED,1,2,0,APP_387805_68301526,387805,68301526,mixed,1,8,17841231,12345,311650266672467,0.000,1271.895,14027286.034,98.763,9960.000,19212.000,13852281.589,1287.963,10.306,186.306,6360.000,156928.000,10.306,6360.000,156928.000,12,12,1,54.317,57.245,80.443,10761.376,29610.778,741.705,740.075,91.453,91.453,2578.507,2849.657,2626.060,801.722,1007.230,0.000,0,0,8,170085.583,21260.698,1017617.584,NA,NA,12,MEASURED,INSUFFICIENT,
2026-09-02T10:54:24Z,primary-a1-w2-warmup-2-integrated,WARMUP,INTEGRATED,1,2,0,APP_387813_68301733,387813,68301733,mixed,1,8,17841231,12345,311652337966607,0.000,1377.660,12950386.194,99.399,9896.000,19212.000,12719671.274,1402.649,11.202,190.096,6340.000,156928.000,11.202,6340.000,156928.000,14,13,1,61.685,60.163,107.008,9489.806,22252.974,894.795,891.718,95.219,95.219,1821.515,1812.408,1659.573,967.517,2224.590,0.000,0,0,8,179117.349,22389.669,1025286.764,NA,NA,13,MEASURED,INSUFFICIENT,Error: target PID 387813 is unavailable for one sample.
2026-09-02T10:54:25Z,primary-a1-w2-warmup-2-baseline,WARMUP,BASELINE,1,2,0,NA,387822,68301942,mixed,1,8,17841231,12345,311654423883470,0.000,1379.381,12934231.748,98.843,9956.000,19212.000,12764401.393,1397.733,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA,0,0,0,NA,NA,NA,,NA,,MEASURED,NOT_RUN,
2026-09-02T10:54:27Z,primary-a1-w2-warmup-3-baseline,WARMUP,BASELINE,1,2,0,NA,387824,68302082,mixed,1,8,17841231,12345,311655822776078,0.000,1737.348,10269233.489,98.618,9896.000,19212.000,10165567.499,1755.065,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA,0,0,0,NA,NA,NA,,NA,,MEASURED,NOT_RUN,
2026-09-02T10:55:15Z,primary-a1-w2-warmup-3-integrated,WARMUP,INTEGRATED,1,2,0,APP_387897_68302257,387897,68302257,mixed,1,8,17841231,12345,311657579144862,0.000,7343.961,2429374.372,22.588,9960.000,19212.000,2423760.107,7360.972,4.377,188.541,6664.000,156936.000,4.377,11352.000,313872.000,16,15,2,245.848,65.650,2348.338,395014.542,5732122.795,804.235,802.452,172.442,249.610,2390.715,3215.784,3613.392,1061.608,3387.943,0.000,0,0,11,389745.754,35431.432,2740495.892,1020.146,1020.146,15,MEASURED,INSUFFICIENT,Error: target PID 387897 is unavailable for one sample.
2026-09-02T10:55:17Z,primary-a1-w2-measured-4-integrated,MEASURED,INTEGRATED,1,2,0,APP_388077_68307043,388077,68307043,mixed,1,8,17841231,12345,311665834107932,0.000,1308.678,13633013.144,99.255,9896.000,19212.000,13485618.587,1322.982,13.195,191.929,6756.000,157140.000,13.195,12236.000,314280.000,13,12,1,75.173,77.655,108.842,11422.821,31527.625,741.353,738.987,82.647,82.647,1813.146,2345.432,2043.976,822.728,1533.653,0.000,0,0,8,228869.239,28608.655,1025254.317,NA,NA,12,MEASURED,INSUFFICIENT,Error: target PID 388077 is unavailable for one sample.
2026-09-02T10:55:19Z,primary-a1-w2-measured-4-baseline,MEASURED,BASELINE,1,2,0,NA,388105,68307251,mixed,1,8,17841231,12345,311667909147309,0.000,1952.064,9139673.232,98.265,9892.000,19212.000,9080286.292,1964.831,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA,0,0,0,NA,NA,NA,,NA,,MEASURED,NOT_RUN,
2026-09-02T10:55:20Z,primary-a1-w2-measured-5-baseline,MEASURED,BASELINE,1,2,0,NA,388173,68307447,mixed,1,8,17841231,12345,311669875341394,0.000,1207.933,14770050.038,98.799,9956.000,19212.000,14680073.998,1215.337,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,NA,0,0,0,NA,NA,NA,,NA,,MEASURED,NOT_RUN,
2026-09-02T10:55:22Z,primary-a1-w2-measured-5-integrated,MEASURED,INTEGRATED,1,2,0,APP_388182_68307569,388182,68307569,mixed,1,8,17841231,12345,311671091737661,0.000,1182.678,15085452.886,99.357,9892.000,19212.000,14873328.748,1199.545,10.273,191.843,6548.000,156952.000,10.273,6548.000,156952.000,12,11,1,60.239,58.326,95.548,9119.142,22143.539,576.019,574.677,68.771,68.771,1719.482,1967.458,1777.933,639.807,816.007,0.000,0,0,8,178495.796,22311.975,1021486.895,NA,NA,11,MEASURED,INSUFFICIENT,Error: target PID 388182 is unavailable for one sample.
