run_id,run_type,mode,application_count,worker_count,iterations,group_makespan_ms,aggregate_throughput,runtime_cpu_percent,runtime_cpu_peak_percent,runtime_rss_kb,runtime_vms_kb,runtime_tree_cpu_percent,runtime_tree_rss_kb,runtime_tree_vms_kb,max_queue_depth,deferred_jobs,saturation_events,discovery_scan_count,discovery_total_us,status,notes
primary-a1-w2-warmup-1-baseline,WARMUP,BASELINE,1,2,17841231,1269.476,14054013.344,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-1-integrated,WARMUP,INTEGRATED,1,2,17841231,1287.963,13852281.589,10.306,186.306,6360.000,156928.000,10.306,6360.000,156928.000,0.000,0,0,8,170085.583,MEASURED,
primary-a1-w2-warmup-2-integrated,WARMUP,INTEGRATED,1,2,17841231,1402.649,12719671.274,11.202,190.096,6340.000,156928.000,11.202,6340.000,156928.000,0.000,0,0,8,179117.349,MEASURED,Error: target PID 387813 is unavailable for one sample.
primary-a1-w2-warmup-2-baseline,WARMUP,BASELINE,1,2,17841231,1397.733,12764401.393,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-3-baseline,WARMUP,BASELINE,1,2,17841231,1755.065,10165567.499,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-3-integrated,WARMUP,INTEGRATED,1,2,17841231,7360.972,2423760.107,4.377,188.541,6664.000,156936.000,4.377,11352.000,313872.000,0.000,0,0,11,389745.754,MEASURED,Error: target PID 387897 is unavailable for one sample.
primary-a1-w2-measured-4-integrated,MEASURED,INTEGRATED,1,2,17841231,1322.982,13485618.587,13.195,191.929,6756.000,157140.000,13.195,12236.000,314280.000,0.000,0,0,8,228869.239,MEASURED,Error: target PID 388077 is unavailable for one sample.
primary-a1-w2-measured-4-baseline,MEASURED,BASELINE,1,2,17841231,1964.831,9080286.292,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-5-baseline,MEASURED,BASELINE,1,2,17841231,1215.337,14680073.998,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-5-integrated,MEASURED,INTEGRATED,1,2,17841231,1199.545,14873328.748,10.273,191.843,6548.000,156952.000,10.273,6548.000,156952.000,0.000,0,0,8,178495.796,MEASURED,Error: target PID 388182 is unavailable for one sample.
primary-a1-w2-measured-6-integrated,MEASURED,INTEGRATED,1,2,17841231,1193.884,14943856.304,14.609,193.070,6580.000,156952.000,14.609,6712.000,157400.000,0.000,0,0,8,235818.566,MEASURED,Error: target PID 388191 is unavailable for one sample.
primary-a1-w2-measured-6-baseline,MEASURED,BASELINE,1,2,17841231,1064.677,16757417.334,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-7-baseline,MEASURED,BASELINE,1,2,17841231,1053.449,16936013.220,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-7-integrated,MEASURED,INTEGRATED,1,2,17841231,1123.948,15873720.476,11.316,192.410,6484.000,156952.000,11.316,6484.000,156952.000,0.000,0,0,8,196997.179,MEASURED,Error: target PID 388204 is unavailable for one sample.
primary-a1-w2-measured-8-integrated,MEASURED,INTEGRATED,1,2,17841231,1279.803,13940602.701,12.350,193.015,6152.000,156944.000,12.350,8600.000,160928.000,0.000,0,0,8,205589.141,MEASURED,
primary-a1-w2-measured-8-baseline,MEASURED,BASELINE,1,2,17841231,1248.985,14284578.324,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-warmup-1-baseline,WARMUP,BASELINE,2,2,17841231,1323.332,26964096.055,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-warmup-1-integrated,WARMUP,INTEGRATED,2,2,17841231,1341.994,26589143.518,10.762,188.045,6396.000,156920.000,10.762,6396.000,156920.000,1.000,0,0,8,172453.455,MEASURED,"Error: target PID 388231 is unavailable for one sample.
Error: target PID 388230 is unavailable for one sample."
primary-a2-w2-warmup-2-integrated,WARMUP,INTEGRATED,2,2,17841231,1517.906,23507692.738,13.338,189.928,6344.000,156956.000,13.338,6344.000,156956.000,1.000,0,0,8,205459.334,MEASURED,
primary-a2-w2-warmup-2-baseline,WARMUP,BASELINE,2,2,17841231,7592.545,4699671.056,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-warmup-3-baseline,WARMUP,BASELINE,2,2,17841231,1388.146,25705112.944,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-warmup-3-integrated,WARMUP,INTEGRATED,2,2,17841231,1484.235,24040974.475,11.351,190.751,5704.000,156088.000,11.351,5704.000,156088.000,1.000,0,0,8,178106.821,MEASURED,Error: target PID 388431 is unavailable for one sample.
primary-a2-w2-measured-4-integrated,MEASURED,INTEGRATED,2,2,17841231,1692.806,21078882.130,14.651,178.275,6556.000,156920.000,14.651,7980.000,159976.000,1.000,0,0,8,263601.063,MEASURED,"Error: target PID 388492 is unavailable for one sample.
Error: target PID 388493 is unavailable for one sample."
primary-a2-w2-measured-4-baseline,MEASURED,BASELINE,2,2,17841231,1520.659,23465125.039,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-measured-5-baseline,MEASURED,BASELINE,2,2,17841231,1291.598,27626594.548,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-measured-5-integrated,MEASURED,INTEGRATED,2,2,17841231,1252.615,28486382.855,11.840,192.091,6424.000,156956.000,11.840,6692.000,159924.000,1.000,0,0,8,185418.947,MEASURED,
primary-a2-w2-measured-6-integrated,MEASURED,INTEGRATED,2,2,17841231,1502.747,23744830.708,14.307,191.304,6484.000,156944.000,14.307,7152.000,159920.000,1.000,0,0,8,233268.135,MEASURED,
primary-a2-w2-measured-6-baseline,MEASURED,BASELINE,2,2,17841231,1457.549,24481140.381,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-measured-7-baseline,MEASURED,BASELINE,2,2,17841231,1323.050,26969854.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a2-w2-measured-7-integrated,MEASURED,INTEGRATED,2,2,17841231,1337.722,26674041.670,11.202,190.027,6544.000,156904.000,11.202,6544.000,156904.000,1.000,0,0,8,186542.017,MEASURED,Error: target PID 388585 is unavailable for one sample.
primary-a2-w2-measured-8-integrated,MEASURED,INTEGRATED,2,2,17841231,1467.625,24313058.326,13.715,187.756,6468.000,156936.000,13.715,6468.000,157724.000,1.000,0,0,8,221642.236,MEASURED,"Error: target PID 388598 is unavailable for one sample.
Error: target PID 388599 is unavailable for one sample."
primary-a2-w2-measured-8-baseline,MEASURED,BASELINE,2,2,17841231,1391.800,25637635.491,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a4-w2-warmup-1-baseline,WARMUP,BASELINE,4,2,17841231,1543.052,46249213.080,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
