scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,1,2,BASELINE,benchmark_elapsed_ms,5,4121.487,4104.710,4001.643,4358.101,140.028,MEASURED
APPLICATION,1,2,BASELINE,benchmark_throughput,5,4332706.414,4346526.187,4093808.598,4458476.921,142528.746,MEASURED
APPLICATION,1,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,INTEGRATED,benchmark_elapsed_ms,5,4366.019,4247.325,4175.842,4871.706,291.500,MEASURED
APPLICATION,1,2,INTEGRATED,benchmark_throughput,5,4099969.797,4200580.273,3662213.864,4272486.981,254477.581,MEASURED
APPLICATION,1,2,INTEGRATED,mean_queue_wait_us,5,302.237,335.962,158.973,450.550,129.366,MEASURED
APPLICATION,1,2,INTEGRATED,mean_completion_latency_us,5,2691.622,2707.306,2310.338,3121.465,308.173,MEASURED
APPLICATION,1,2,INTEGRATED,mean_pipeline_serial_wait_us,5,367.137,241.706,226.999,882.834,288.478,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase3_us,5,2343.879,2300.944,2045.313,2705.726,248.522,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase4_us,5,6791.349,5776.152,5278.488,11367.368,2575.335,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase5_us,5,6939.158,7168.312,5345.676,8758.150,1502.629,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase6_us,5,6311.699,5793.605,5394.191,7582.597,930.299,MEASURED
APPLICATION,2,2,BASELINE,benchmark_elapsed_ms,10,4588.562,4631.975,3899.527,5255.992,414.840,MEASURED
APPLICATION,2,2,BASELINE,benchmark_throughput,10,3917808.386,3851981.759,3394455.737,4575229.613,365736.335,MEASURED
APPLICATION,2,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,2,INTEGRATED,benchmark_elapsed_ms,10,4728.022,4786.545,4219.006,5300.979,344.809,MEASURED
APPLICATION,2,2,INTEGRATED,benchmark_throughput,10,3791757.725,3727829.240,3365648.275,4228775.696,278674.229,MEASURED
APPLICATION,2,2,INTEGRATED,mean_queue_wait_us,10,744.264,599.656,236.589,1537.059,426.096,MEASURED
