workload,metric,baseline_mean,integrated_mean,absolute_difference,percent_change,status
sequential,benchmark_elapsed_ms,106.773,111.759,4.986,4.669,MEASURED
sequential,benchmark_throughput_ops_sec,18793351.865,18085000.371,-708351.494,-3.769,MEASURED
random,benchmark_elapsed_ms,186.163,168.984,-17.179,-9.228,MEASURED
random,benchmark_throughput_ops_sec,10861771.206,12836433.242,1974662.036,18.180,MEASURED
hot,benchmark_elapsed_ms,135.908,126.845,-9.062,-6.668,MEASURED
hot,benchmark_throughput_ops_sec,14774270.965,15944619.374,1170348.410,7.922,MEASURED
moderate,benchmark_elapsed_ms,206.938,186.999,-19.939,-9.635,MEASURED
moderate,benchmark_throughput_ops_sec,9716869.691,10872140.307,1155270.616,11.889,MEASURED
cold,benchmark_elapsed_ms,190.217,148.246,-41.971,-22.065,MEASURED
cold,benchmark_throughput_ops_sec,10591005.620,15429961.305,4838955.685,45.689,MEASURED
mixed,benchmark_elapsed_ms,179.235,172.933,-6.302,-3.516,MEASURED
mixed,benchmark_throughput_ops_sec,11176215.907,11610341.787,434125.880,3.884,MEASURED
changing,benchmark_elapsed_ms,198.652,169.521,-29.131,-14.664,MEASURED
changing,benchmark_throughput_ops_sec,11021273.694,13036163.704,2014890.010,18.282,MEASURED
local,benchmark_elapsed_ms,99.341,104.651,5.311,5.346,MEASURED
local,benchmark_throughput_ops_sec,20177293.076,19345665.778,-831627.298,-4.122,MEASURED
