timestamp,run_id,workload,mode,run_type,run_index,threads,memory_mb,iterations,seed,benchmark_pid,app_id,benchmark_elapsed_ms,benchmark_throughput_ops_sec,benchmark_cpu_percent,benchmark_rss_kb,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,runtime_cycle_count,runtime_cycle_total_us,discovery_us,scheduler_or_runtime_scan_us,queue_wait_us,queue_depth_mean,queue_depth_max,jobs_submitted,jobs_executed,jobs_deferred,queue_saturation_events,worker_execution_us,phase3_us,pipeline_serial_wait_us,phase4_us,phase5_us,phase6_us,coordinator_overhead_us,completion_latency_us,pipeline_statuses,status,notes,runtime_cpu_peak_percent,discovery_scan_count,discovery_total_us
2026-09-02T10:52:39Z,final-single-sequential-warmup-1-baseline,sequential,BASELINE,WARMUP,1,2,8,1000000,12345,387015,NA,38.351,52149700.589,156.429,9892.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,WARMUP,,NA,0,NA
2026-09-02T10:52:40Z,final-single-sequential-warmup-1-integrated,sequential,INTEGRATED,WARMUP,1,2,8,1000000,12345,387018,APP_387018_68291454,39.085,51170812.471,162.922,9960.000,12.981,5520.000,155980.000,1,1000519.947,29435.601,3.434,71.778,0.000,0.000,2,1,0,0,347.002,345.136,NA,NA,NA,NA,NA,438.180,TARGET_GONE:1,WARMUP,Error: target PID 387018 is unavailable for one sample.,440.147,4,117742.402
2026-09-02T10:52:41Z,final-single-sequential-warmup-2-integrated,sequential,INTEGRATED,WARMUP,2,2,8,1000000,12345,387027,APP_387027_68291555,100.386,19923135.545,174.790,10024.000,16.764,5596.000,155980.000,1,1011358.080,36820.514,4.107,74.780,0.000,0.000,2,1,0,0,1049.434,1045.580,NA,NA,NA,NA,NA,1170.512,TARGET_GONE:1,WARMUP,Error: target PID 387027 is unavailable for one sample.,779.819,4,147282.056
2026-09-02T10:52:41Z,final-single-sequential-warmup-2-baseline,sequential,BASELINE,WARMUP,2,2,8,1000000,12345,387033,NA,110.404,18115229.227,182.427,10020.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,WARMUP,,NA,0,NA
2026-09-02T10:52:41Z,final-single-sequential-warmup-3-baseline,sequential,BASELINE,WARMUP,3,2,8,1000000,12345,387036,NA,109.390,18283234.281,182.295,10088.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,WARMUP,,NA,0,NA
2026-09-02T10:52:42Z,final-single-sequential-warmup-3-integrated,sequential,INTEGRATED,WARMUP,3,2,8,1000000,12345,387039,APP_387039_68291684,110.405,18115147.530,186.852,9956.000,18.455,6392.000,156928.000,1,1026026.871,39229.680,9.952,456.554,0.000,0.000,3,2,0,0,1647.349,1642.698,NA,NA,NA,NA,NA,2150.158,TARGET_GONE:1,WARMUP,Error: target PID 387039 is unavailable for one sample.,839.358,4,156918.721
2026-09-02T10:52:43Z,final-single-sequential-warmup-4-integrated,sequential,INTEGRATED,WARMUP,4,2,8,1000000,12345,387045,APP_387045_68291788,108.467,18438754.347,179.478,10024.000,17.620,6372.000,156928.000,1,1017493.426,37616.075,8.615,101.380,0.000,0.000,3,2,0,0,1069.702,1065.771,NA,NA,NA,NA,NA,1212.736,TARGET_GONE:1,WARMUP,Error: target PID 387045 is unavailable for one sample.,421.027,4,150464.299
2026-09-02T10:52:43Z,final-single-sequential-warmup-4-baseline,sequential,BASELINE,WARMUP,4,2,8,1000000,12345,387051,NA,109.022,18344858.447,177.264,9960.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,WARMUP,,NA,0,NA
2026-09-02T10:52:43Z,final-single-sequential-warmup-5-baseline,sequential,BASELINE,WARMUP,5,2,8,1000000,12345,387054,NA,107.230,18651438.866,180.183,9960.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,WARMUP,,NA,0,NA
2026-09-02T10:52:44Z,final-single-sequential-warmup-5-integrated,sequential,INTEGRATED,WARMUP,5,2,8,1000000,12345,387057,APP_387057_68291917,91.714,21806920.802,181.196,10024.000,17.562,5532.000,155980.000,1,1022496.323,39438.943,4.328,78.434,0.000,0.000,2,1,0,0,814.562,812.197,NA,NA,NA,NA,NA,919.043,TARGET_GONE:1,WARMUP,Error: target PID 387057 is unavailable for one sample.,424.274,4,157755.771
2026-09-02T10:52:45Z,final-single-sequential-measured-1-baseline,sequential,BASELINE,MEASURED,1,2,8,1000000,12345,387063,NA,114.383,17485176.336,176.597,10088.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT_RUN,MEASURED,,NA,0,NA
2026-09-02T10:52:46Z,final-single-sequential-measured-1-integrated,sequential,INTEGRATED,MEASURED,1,2,8,1000000,12345,387066,APP_387066_68292035,108.063,18507763.626,180.809,10088.000,16.703,5472.000,155980.000,1,1013624.212,37247.510,4.903,96.936,0.000,0.000,2,1,0,0,1304.824,1299.772,NA,NA,NA,NA,NA,1443.961,TARGET_GONE:1,MEASURED,Error: target PID 387066 is unavailable for one sample.,421.545,4,148990.039
2026-09-02T10:52:47Z,final-single-sequential-measured-2-integrated,sequential,INTEGRATED,MEASURED,2,2,8,1000000,12345,387072,APP_387072_68292138,128.366,15580424.039,184.319,10336.000,17.553,6248.000,156928.000,1,1021818.003,39014.056,9.358,105.316,0.000,0.000,3,2,0,0,1264.215,1260.298,NA,NA,NA,NA,NA,1405.654,TARGET_GONE:1,MEASURED,Error: target PID 387072 is unavailable for one sample.,425.553,4,156056.225
