scope,workload,mode,metric,count,mean,median,min,max,stddev,status
SINGLE_APPLICATION,sequential,BASELINE,benchmark_elapsed_ms,5,139.416,129.842,127.666,155.288,14.285,MEASURED
SINGLE_APPLICATION,sequential,BASELINE,benchmark_throughput_ops_sec,5,14462753.542,15403285.710,12879283.800,15665870.542,1430046.839,MEASURED
SINGLE_APPLICATION,sequential,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,runtime_cpu_peak_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,discovery_scan_count,5,0.000,0.000,0.000,0.000,0.000,MEASURED
SINGLE_APPLICATION,sequential,BASELINE,discovery_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
SINGLE_APPLICATION,sequential,INTEGRATED,benchmark_elapsed_ms,5,141.004,147.956,114.595,152.618,15.820,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,benchmark_throughput_ops_sec,5,14346832.824,13517500.994,13104652.003,17452698.843,1818578.972,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,runtime_cpu_percent,5,22.319,23.332,19.551,24.579,2.204,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,runtime_cpu_peak_percent,5,501.249,423.208,419.886,818.365,177.285,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,runtime_rss_kb,5,6000.000,6008.000,5832.000,6164.000,164.073,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,runtime_vms_kb,5,156804.000,156804.000,156804.000,156804.000,0.000,MEASURED
SINGLE_APPLICATION,sequential,INTEGRATED,discovery_scan_count,5,4.000,4.000,4.000,4.000,0.000,MEASURED
