workload,mode,metric,count,mean,median,min,max,stddev,status
sequential,BASELINE,benchmark_elapsed_ms,5,121.658,126.280,104.353,142.199,15.462,MEASURED
sequential,BASELINE,benchmark_throughput_ops_sec,5,16653911.089,15837863.109,14064749.637,19165655.393,2117251.674,MEASURED
sequential,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,benchmark_cpu_percent,5,170.523,171.784,163.801,176.627,4.843,MEASURED
sequential,BASELINE,benchmark_rss_kb,5,10120.000,10056.000,10056.000,10248.000,90.510,MEASURED
sequential,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,INTEGRATED,benchmark_elapsed_ms,5,123.780,121.969,115.280,139.840,9.684,MEASURED
sequential,INTEGRATED,benchmark_throughput_ops_sec,5,16232214.732,16397647.143,14302021.657,17349010.477,1191845.548,MEASURED
sequential,INTEGRATED,runtime_cpu_percent,5,56.318,52.927,52.599,66.556,5.976,MEASURED
sequential,INTEGRATED,runtime_rss_kb,5,4500.000,4560.000,4196.000,4624.000,178.034,MEASURED
sequential,INTEGRATED,runtime_vms_kb,5,154608.800,154596.000,154596.000,154628.000,17.527,MEASURED
sequential,INTEGRATED,benchmark_cpu_percent,5,172.061,171.164,165.058,179.748,5.818,MEASURED
sequential,INTEGRATED,benchmark_rss_kb,5,10132.000,10056.000,10052.000,10248.000,105.906,MEASURED
sequential,INTEGRATED,discovery_us,5,45610.098,48338.165,38301.739,50747.951,5975.051,MEASURED
sequential,INTEGRATED,queue_wait_us,5,288.271,134.092,61.017,661.213,277.751,MEASURED
sequential,INTEGRATED,worker_execution_us,5,2102.897,2132.085,1621.215,2482.126,351.575,MEASURED
sequential,INTEGRATED,phase3_us,5,2098.477,2126.691,1618.152,2477.194,350.611,MEASURED
sequential,INTEGRATED,pipeline_serial_wait_us,5,253.327,255.335,200.245,303.988,44.062,MEASURED
sequential,INTEGRATED,phase4_us,5,5280.333,5169.426,3804.276,7789.135,1544.280,MEASURED
sequential,INTEGRATED,phase5_us,5,5119.895,4968.222,3819.319,7163.853,1282.764,MEASURED
sequential,INTEGRATED,phase6_us,5,4734.739,4549.698,3226.836,7014.919,1515.026,MEASURED
sequential,INTEGRATED,coordinator_overhead_us,5,787.589,778.111,713.263,863.982,55.147,MEASURED
sequential,INTEGRATED,completion_latency_us,5,2446.949,2516.161,1796.570,3213.154,566.873,MEASURED
sequential,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
sequential,INTEGRATED,runtime_cycle_total_us,5,99102.157,102372.136,90830.484,105955.508,6754.265,MEASURED
sequential,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
