workload,mode,metric,count,mean,median,min,max,stddev,status
sequential,BASELINE,benchmark_elapsed_ms,5,110.828,111.233,102.059,117.924,5.911,MEASURED
sequential,BASELINE,benchmark_throughput_ops_sec,5,18088044.552,17980226.174,16960005.218,19596600.261,987012.913,MEASURED
sequential,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,benchmark_cpu_percent,5,171.111,170.254,168.425,176.560,3.278,MEASURED
sequential,BASELINE,benchmark_rss_kb,5,10106.400,10056.000,10056.000,10184.000,69.028,MEASURED
sequential,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
sequential,INTEGRATED,benchmark_elapsed_ms,5,114.465,115.142,111.956,117.325,2.262,MEASURED
sequential,INTEGRATED,benchmark_throughput_ops_sec,5,17478065.692,17369799.026,17046690.817,17864157.571,345532.474,MEASURED
sequential,INTEGRATED,runtime_cpu_percent,5,55.155,54.116,51.915,60.918,3.456,MEASURED
sequential,INTEGRATED,runtime_rss_kb,5,4570.400,4580.000,4448.000,4712.000,105.815,MEASURED
sequential,INTEGRATED,runtime_vms_kb,5,154623.200,154620.000,154620.000,154628.000,4.382,MEASURED
sequential,INTEGRATED,benchmark_cpu_percent,5,179.772,177.540,176.454,185.738,3.956,MEASURED
sequential,INTEGRATED,benchmark_rss_kb,5,10054.400,10056.000,9928.000,10180.000,89.111,MEASURED
sequential,INTEGRATED,discovery_us,5,44043.143,40106.762,36535.172,56916.833,8165.165,MEASURED
sequential,INTEGRATED,queue_wait_us,5,313.923,233.139,63.095,747.217,289.508,MEASURED
sequential,INTEGRATED,worker_execution_us,5,2092.002,2215.598,1610.888,2485.772,339.273,MEASURED
sequential,INTEGRATED,phase3_us,5,2087.745,2212.115,1607.272,2480.220,338.493,MEASURED
sequential,INTEGRATED,pipeline_serial_wait_us,5,263.061,256.293,245.080,286.464,16.651,MEASURED
sequential,INTEGRATED,phase4_us,5,5391.564,4697.250,3723.279,9378.101,2321.196,MEASURED
sequential,INTEGRATED,phase5_us,5,5067.627,4926.230,3955.328,6881.445,1192.767,MEASURED
sequential,INTEGRATED,phase6_us,5,4184.790,4062.645,3251.204,5663.143,934.707,MEASURED
sequential,INTEGRATED,coordinator_overhead_us,5,853.431,852.060,796.753,928.859,53.575,MEASURED
sequential,INTEGRATED,completion_latency_us,5,2475.911,2419.965,1884.366,3055.855,547.565,MEASURED
sequential,INTEGRATED,queue_depth_max,5,0.000,0.000,0.000,0.000,0.000,MEASURED
sequential,INTEGRATED,runtime_cycle_total_us,5,98164.675,92826.709,87465.905,110693.132,10779.337,MEASURED
sequential,INTEGRATED,runtime_cycle_count,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_submitted,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_executed,5,1.000,1.000,1.000,1.000,0.000,MEASURED
sequential,INTEGRATED,jobs_deferred,5,0.000,0.000,0.000,0.000,0.000,MEASURED
sequential,INTEGRATED,queue_saturation_events,5,0.000,0.000,0.000,0.000,0.000,MEASURED
random,BASELINE,benchmark_elapsed_ms,5,208.119,208.333,188.277,225.879,13.549,MEASURED
random,BASELINE,benchmark_throughput_ops_sec,5,9643192.544,9600016.742,8854285.633,10622671.922,640971.587,MEASURED
random,BASELINE,runtime_cpu_percent,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,runtime_rss_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,runtime_vms_kb,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,benchmark_cpu_percent,5,183.530,184.044,180.869,187.412,2.689,MEASURED
random,BASELINE,benchmark_rss_kb,5,10067.200,10052.000,9992.000,10184.000,70.507,MEASURED
random,BASELINE,discovery_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,worker_execution_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,coordinator_overhead_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,queue_depth_max,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,runtime_cycle_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,runtime_cycle_count,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,jobs_submitted,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,jobs_executed,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,jobs_deferred,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,BASELINE,queue_saturation_events,0,NA,NA,NA,NA,NA,UNAVAILABLE
random,INTEGRATED,benchmark_elapsed_ms,5,217.000,214.392,208.609,230.459,8.247,MEASURED
random,INTEGRATED,benchmark_throughput_ops_sec,5,9226968.903,9328716.868,8678346.871,9587321.419,340794.206,MEASURED
random,INTEGRATED,runtime_cpu_percent,5,53.523,56.425,46.946,58.586,5.428,MEASURED
