graph_id,graph_name,source_file,data_type,records_available,records_used,records_skipped,status,reason,output_file,generation_time
G02-1,Benchmark Throughput by Workload Pattern,results/benchmark_results.csv,REAL,2,2,0,GENERATED,,graphs/phase2/benchmark_throughput_by_pattern.svg,0.002620101
G02-2,Benchmark Execution Time by Workload Pattern,results/benchmark_results.csv,REAL,2,2,0,GENERATED,,graphs/phase2/benchmark_execution_time.svg,0.001894752
G02-3,Benchmark Throughput vs Thread Count,results/benchmark_results.csv,REAL,2,2,0,GENERATED,,graphs/phase2/benchmark_throughput_vs_threads.svg,0.001780334
G02-4,Benchmark Execution Time vs Memory Size,results/benchmark_results.csv,REAL,2,0,2,SKIPPED,only one memory size is available,,0.000000000
G02-5,Workload Pattern Operation Comparison,results/benchmark_results.csv,REAL,2,2,0,GENERATED,,graphs/phase2/workload_pattern_comparison.svg,0.001575668
G03-1,CPU Utilization over Time,results/monitoring_results.csv,REAL,4,3,1,GENERATED,,graphs/phase3/cpu_utilization_over_time.svg,0.001772264
G03-2,RSS over Time,results/monitoring_results.csv,REAL,4,4,0,GENERATED,,graphs/phase3/rss_over_time.svg,0.001697179
G03-3,Virtual Memory over Time,results/monitoring_results.csv,REAL,4,4,0,GENERATED,,graphs/phase3/virtual_memory_over_time.svg,0.001962979
G03-6,Thread Count over Time,results/monitoring_results.csv,REAL,4,4,0,GENERATED,,graphs/phase3/thread_count_over_time.svg,0.002463274
G03-4,Page Faults over Time,results/monitoring_results.csv,REAL,4,4,0,GENERATED,,graphs/phase3/page_faults_over_time.svg,0.006002050
G03-5,Thread CPU Utilization over Time,results/monitoring_threads.csv,REAL,7,7,0,GENERATED,,graphs/phase3/thread_cpu_utilization_over_time.svg,0.002361936
G03-7,NUMA Residency over Time,results/monitoring_results.csv,REAL,4,4,0,GENERATED,,graphs/phase3/numa_residency_over_time.svg,0.001870686
G03-8,Monitoring Sample Interval Comparison,results/monitoring_results.csv,REAL,4,0,4,SKIPPED,sample interval is not an explicit column and no multiple interval dataset is available,,0.000000000
G04-1,Classification Distribution,results/classification_results.csv,REAL,4,4,0,GENERATED,,graphs/phase4/classification_distribution.svg,0.001596276
