application,jobs_submitted,jobs_completed,queue_wait_mean_us,queue_wait_median_us,worker_execution_mean_us,monitor_execution_mean_us,completion_latency_mean_us
APP_214074_45607953,16,16,126.076,112.344,1172.997,1145.772,1324.194
APP_214080_45607979,6,6,188.024,171.660,1703.374,1656.627,1900.377
APP_214081_45608009,10,10,138.517,99.818,1446.412,1412.134,1597.834
APP_214082_45608117,24,24,142.384,131.033,1311.303,1278.730,1472.009
APP_214083_45608117,24,24,139.521,131.280,1304.320,1272.867,1454.576
APP_214084_45608117,24,24,1347.245,1234.430,1029.210,1000.481,2380.366
APP_214085_45608117,24,24,1519.246,1585.711,1196.430,1172.650,2732.817
APP_214086_45608117,24,24,2347.405,2119.890,896.113,870.366,3257.672
APP_214093_45608370,5,5,183.698,174.547,1264.938,1230.893,1475.122
APP_214095_45608370,2,2,1404.638,1404.638,1067.830,1052.638,2515.147
APP_214097_45608370,2,2,1374.711,1374.711,931.175,917.169,2409.639
