level,component,application,pid,job_id,start_ns,end_ns,duration_us,status
lifecycle,perf_counter_attempt,-,196088,0,129665495415310,129665495424339,9.029,UNAVAILABLE
lifecycle,perf_counter_attempt,-,196088,0,129665495844330,129665495852333,8.003,UNAVAILABLE
lifecycle,perf_counter_initialization,-,196088,0,129665495415046,129665495877295,462.249,OK
lifecycle,initialization,-,196088,0,129665495151645,129665495962062,810.417,OK
sample,cache_perf_read,-,-1,0,129665496118822,129665496119020,0.198,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129665496150158,129665496150278,0.120,UNAVAILABLE
sample,proc_pid_stat,-,196088,0,129665496173982,129665496317211,143.229,OK
sample,cpu_statistics,-,-1,0,129665496381508,129665496609566,228.058,OK
sample,memory_rss,-,196088,0,129665496672924,129665496849416,176.492,OK
sample,numa_information,-,196088,0,129665496930975,129665497405465,474.490,OK
sample,thread_enumeration,-,196088,0,129665497522157,129665497541099,18.942,OK
sample,thread_enumeration,-,196088,0,129665497580392,129665497580601,0.209,OK
sample,thread_enumeration,-,196088,0,129665497607474,129665497607671,0.197,OK
sample,per_thread_stat,-,196088,196088,129665497630303,129665497716993,86.690,OK
sample,thread_enumeration,-,196088,0,129665497752792,129665497756473,3.681,END
sample,thread_statistics_total,-,196088,0,129665497469208,129665497786270,317.062,OK
sample,csv_formatting_process,-,196088,0,129665497903598,129665497914558,10.960,OK
sample,csv_write_process,-,196088,0,129665497945751,129665498033503,87.752,OK
sample,csv_formatting_threads,-,196088,0,129665498142055,129665498149180,7.125,OK
sample,csv_write_threads,-,196088,0,129665498174080,129665498215815,41.735,OK
sample,monitor_sample_total,-,196088,0,129665496118516,129665498260530,2142.014,OK
sample,cache_perf_read,-,-1,0,129665548452835,129665548452980,0.145,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129665548550974,129665548551052,0.078,UNAVAILABLE
sample,proc_pid_stat,-,196088,0,129665548581963,129665548691277,109.314,OK
sample,cpu_statistics,-,-1,0,129665548754376,129665548919905,165.529,OK
sample,memory_rss,-,196088,0,129665548951048,129665549100007,148.959,OK
sample,numa_information,-,196088,0,129665549138316,129665550120203,981.887,OK
sample,thread_enumeration,-,196088,0,129665550239652,129665550278270,38.618,OK
sample,thread_enumeration,-,196088,0,129665550330487,129665550330907,0.420,OK
sample,thread_enumeration,-,196088,0,129665550354521,129665550354677,0.156,OK
sample,per_thread_stat,-,196088,196088,129665550375650,129665550450828,75.178,OK
sample,thread_enumeration,-,196088,0,129665550484095,129665550484510,0.415,OK
sample,per_thread_stat,-,196088,196089,129665550507697,129665550581841,74.144,OK
sample,thread_enumeration,-,196088,0,129665550615600,129665550615833,0.233,OK
sample,per_thread_stat,-,196088,196090,129665550638909,129665550703724,64.815,OK
sample,thread_enumeration,-,196088,0,129665550736521,129665550739944,3.423,END
sample,thread_statistics_total,-,196088,0,129665550201150,129665550766003,564.853,OK
sample,csv_formatting_process,-,196088,0,129665550799087,129665550813759,14.672,OK
sample,csv_write_process,-,196088,0,129665550837424,129665550888156,50.732,OK
sample,csv_formatting_threads,-,196088,0,129665550917069,129665550931961,14.892,OK
sample,csv_write_threads,-,196088,0,129665550955951,129665550969570,13.619,OK
sample,monitor_sample_total,-,196088,0,129665548451880,129665550994986,2543.106,OK
sample,cache_perf_read,-,-1,0,129665601169361,129665601169507,0.146,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129665601281083,129665601281207,0.124,UNAVAILABLE
sample,proc_pid_stat,-,196088,0,129665601310075,129665601421707,111.632,OK
sample,cpu_statistics,-,-1,0,129665601477813,129665601642109,164.296,OK
sample,memory_rss,-,196088,0,129665601672955,129665601789526,116.571,OK
sample,numa_information,-,196088,0,129665601818771,129665602570163,751.392,OK
sample,thread_enumeration,-,196088,0,129665602638053,129665602653351,15.298,OK
sample,thread_enumeration,-,196088,0,129665602700474,129665602700794,0.320,OK
sample,thread_enumeration,-,196088,0,129665602722021,129665602722215,0.194,OK
sample,per_thread_stat,-,196088,196088,129665602785536,129665602852765,67.229,OK
sample,thread_enumeration,-,196088,0,129665602904759,129665602905048,0.289,OK
sample,per_thread_stat,-,196088,196089,129665602930184,129665602990912,60.728,OK
sample,thread_enumeration,-,196088,0,129665603056367,129665603056742,0.375,OK
sample,per_thread_stat,-,196088,196090,129665603079598,129665603138094,58.496,OK
sample,thread_enumeration,-,196088,0,129665603170800,129665603174668,3.868,END
sample,thread_statistics_total,-,196088,0,129665602614751,129665603208354,593.603,OK
sample,csv_formatting_process,-,196088,0,129665603238034,129665603251599,13.565,OK
sample,csv_write_process,-,196088,0,129665603281302,129665603319200,37.898,OK
sample,csv_formatting_threads,-,196088,0,129665603352013,129665603365647,13.634,OK
sample,csv_write_threads,-,196088,0,129665603407349,129665603419184,11.835,OK
sample,monitor_sample_total,-,196088,0,129665601168716,129665603444612,2275.896,OK
sample,logging,-,196088,0,129665653644869,129665653697091,52.222,OK
lifecycle,finalization,-,196088,0,129665653793307,129665653894370,101.063,OK
lifecycle,monitor_session,-,196088,0,129665495151328,129665653940078,158788.750,OK
