level,component,application,pid,job_id,start_ns,end_ns,duration_us,status
discovery,application_discovery_scan,-,-1,0,129706044558865,129706078278303,33719.438,OK
worker,job_submission,APP_196111_38322410,196111,4294967297,129706087089686,129706087115748,26.062,OK
worker,job_started,APP_196111_38322410,196111,4294967297,129706087213966,129706087214241,0.275,OK
sample,proc_pid_stat,-,196111,0,129706087344915,129706087464860,119.945,OK
lifecycle,perf_counter_attempt,-,196111,0,129706087679187,129706087688312,9.125,UNAVAILABLE
lifecycle,perf_counter_attempt,-,196111,0,129706087723179,129706087726699,3.520,UNAVAILABLE
lifecycle,perf_counter_initialization,-,196111,0,129706087678843,129706087750165,71.322,OK
lifecycle,initialization,-,196111,0,129706087311367,129706087772337,460.970,OK
sample,cache_perf_read,-,-1,0,129706087792527,129706087792714,0.187,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129706087811301,129706087811432,0.131,UNAVAILABLE
sample,proc_pid_stat,-,196111,0,129706087832858,129706087895290,62.432,OK
sample,cpu_statistics,-,-1,0,129706087942996,129706088183299,240.303,OK
sample,memory_rss,-,196111,0,129706088221010,129706088359232,138.222,OK
sample,numa_information,-,196111,0,129706088391143,129706088758649,367.506,OK
sample,thread_enumeration,-,196111,0,129706088837903,129706088854813,16.910,OK
sample,thread_enumeration,-,196111,0,129706088886130,129706088886349,0.219,OK
sample,thread_enumeration,-,196111,0,129706088907720,129706088907916,0.196,OK
sample,per_thread_stat,-,196111,196111,129706088930965,129706088998576,67.611,OK
sample,thread_enumeration,-,196111,0,129706089080063,129706089083688,3.625,END
sample,thread_statistics_total,-,196111,0,129706088795864,129706089112398,316.534,OK
sample,csv_formatting_process,-,196111,0,129706089249923,129706089262039,12.116,OK
sample,csv_write_process,-,196111,0,129706089293047,129706089316952,23.905,OK
sample,csv_formatting_threads,-,196111,0,129706089341991,129706089346641,4.650,OK
sample,csv_write_threads,-,196111,0,129706089363933,129706089376594,12.661,OK
sample,monitor_sample_total,-,196111,0,129706087792099,129706089401330,1609.231,OK
lifecycle,finalization,-,196111,0,129706089422270,129706089431072,8.802,OK
lifecycle,monitor_run_pid_once,-,196111,0,129706087311222,129706089456574,2145.352,OK
worker,monitor_execution,APP_196111_38322410,196111,4294967297,129706087300450,129706089477628,2177.178,OK
worker,job_completed,APP_196111_38322410,196111,4294967297,129706089523148,129706089523283,0.135,OK
discovery,application_discovery_scan,-,-1,0,129706103538867,129706136421774,32882.907,OK
discovery,application_discovery_scan,-,-1,0,129706154755287,129706188348353,33593.066,OK
worker,job_submission,APP_196111_38322410,196111,4294967298,129706190113215,129706190134988,21.773,OK
worker,job_started,APP_196111_38322410,196111,4294967298,129706190255994,129706190256160,0.166,OK
sample,proc_pid_stat,-,196111,0,129706190326375,129706190404435,78.060,OK
lifecycle,perf_counter_attempt,-,196111,0,129706190529682,129706190537854,8.172,UNAVAILABLE
lifecycle,perf_counter_attempt,-,196111,0,129706190561583,129706190563561,1.978,UNAVAILABLE
lifecycle,perf_counter_initialization,-,196111,0,129706190529334,129706190576157,46.823,OK
lifecycle,initialization,-,196111,0,129706190305468,129706190589378,283.910,OK
sample,cache_perf_read,-,-1,0,129706190602890,129706190603032,0.142,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129706190614958,129706190615050,0.092,UNAVAILABLE
sample,proc_pid_stat,-,196111,0,129706190628046,129706190667807,39.761,OK
sample,cpu_statistics,-,-1,0,129706190701809,129706190837478,135.669,OK
sample,memory_rss,-,196111,0,129706190859332,129706190942982,83.650,OK
sample,numa_information,-,196111,0,129706190960954,129706191235288,274.334,OK
sample,thread_enumeration,-,196111,0,129706191296798,129706191304261,7.463,OK
sample,thread_enumeration,-,196111,0,129706191320949,129706191321138,0.189,OK
sample,thread_enumeration,-,196111,0,129706191332155,129706191332281,0.126,OK
sample,per_thread_stat,-,196111,196111,129706191343315,129706191384526,41.211,OK
sample,thread_enumeration,-,196111,0,129706191405691,129706191407798,2.107,END
sample,thread_statistics_total,-,196111,0,129706191272081,129706191448381,176.300,OK
sample,csv_formatting_process,-,196111,0,129706191468511,129706191475746,7.235,OK
sample,csv_write_process,-,196111,0,129706191489625,129706191494005,4.380,OK
sample,csv_formatting_threads,-,196111,0,129706191504602,129706191507584,2.982,OK
sample,csv_write_threads,-,196111,0,129706191517335,129706191520096,2.761,OK
sample,monitor_sample_total,-,196111,0,129706190602592,129706191530484,927.892,OK
lifecycle,finalization,-,196111,0,129706191542109,129706191547752,5.643,OK
lifecycle,monitor_run_pid_once,-,196111,0,129706190305373,129706191557850,1252.477,OK
worker,monitor_execution,APP_196111_38322410,196111,4294967298,129706190296264,129706191570854,1274.590,OK
worker,job_completed,APP_196111_38322410,196111,4294967298,129706191597775,129706191597869,0.094,OK
discovery,application_discovery_scan,-,-1,0,129706206314841,129706244513602,38198.761,OK
discovery,application_discovery_scan,-,-1,0,129706262035544,129706296752059,34716.515,OK
worker,job_submission,APP_196111_38322410,196111,4294967299,129706300620873,129706300646234,25.361,OK
worker,job_started,APP_196111_38322410,196111,4294967299,129706300787566,129706300787733,0.167,OK
sample,proc_pid_stat,-,196111,0,129706300859621,129706300938169,78.548,OK
lifecycle,perf_counter_attempt,-,196111,0,129706301089906,129706301097717,7.811,UNAVAILABLE
lifecycle,perf_counter_attempt,-,196111,0,129706301132151,129706301134531,2.380,UNAVAILABLE
lifecycle,perf_counter_initialization,-,196111,0,129706301089555,129706301149570,60.015,OK
lifecycle,initialization,-,196111,0,129706300840502,129706301160985,320.483,OK
sample,cache_perf_read,-,-1,0,129706301172148,129706301172287,0.139,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129706301183113,129706301183188,0.075,UNAVAILABLE
sample,proc_pid_stat,-,196111,0,129706301193531,129706301236059,42.528,OK
sample,cpu_statistics,-,-1,0,129706301275299,129706301414914,139.615,OK
sample,memory_rss,-,196111,0,129706301436292,129706301519958,83.666,OK
sample,numa_information,-,196111,0,129706301537506,129706301768428,230.922,OK
sample,thread_enumeration,-,196111,0,129706301811182,129706301819066,7.884,OK
sample,thread_enumeration,-,196111,0,129706301833118,129706301833294,0.176,OK
sample,thread_enumeration,-,196111,0,129706301844730,129706301844864,0.134,OK
sample,per_thread_stat,-,196111,196111,129706301855118,129706301893140,38.022,OK
sample,thread_enumeration,-,196111,0,129706301932322,129706301934236,1.914,END
sample,thread_statistics_total,-,196111,0,129706301790219,129706301949589,159.370,OK
sample,csv_formatting_process,-,196111,0,129706301968558,129706301976023,7.465,OK
sample,csv_write_process,-,196111,0,129706301995195,129706301999815,4.620,OK
sample,csv_formatting_threads,-,196111,0,129706302059640,129706302063301,3.661,OK
sample,csv_write_threads,-,196111,0,129706302075494,129706302078653,3.159,OK
sample,monitor_sample_total,-,196111,0,129706301171841,129706302089227,917.386,OK
lifecycle,finalization,-,196111,0,129706302102834,129706302109494,6.660,OK
lifecycle,monitor_run_pid_once,-,196111,0,129706300840400,129706302124143,1283.743,OK
worker,monitor_execution,APP_196111_38322410,196111,4294967299,129706300831698,129706302137056,1305.358,OK
worker,job_completed,APP_196111_38322410,196111,4294967299,129706302160431,129706302160525,0.094,OK
discovery,application_discovery_scan,-,-1,0,129706316845568,129706358701607,41856.039,OK
worker,job_submission,APP_196117_38322435,196117,8589934593,129706361195366,129706361221311,25.945,OK
worker,job_started,APP_196117_38322435,196117,8589934593,129706361384911,129706361385081,0.170,OK
sample,proc_pid_stat,-,196117,0,129706361487710,129706361585876,98.166,OK
lifecycle,perf_counter_attempt,-,196117,0,129706361784060,129706361793181,9.121,UNAVAILABLE
lifecycle,perf_counter_attempt,-,196117,0,129706361823233,129706361826352,3.119,UNAVAILABLE
lifecycle,perf_counter_initialization,-,196117,0,129706361783726,129706361849763,66.037,OK
lifecycle,initialization,-,196117,0,129706361460747,129706361869647,408.900,OK
sample,cache_perf_read,-,-1,0,129706361941049,129706361941244,0.195,UNAVAILABLE
sample,cache_perf_read,-,-1,0,129706361967689,129706361967819,0.130,UNAVAILABLE
sample,proc_pid_stat,-,196117,0,129706361988772,129706362078505,89.733,OK
sample,cpu_statistics,-,-1,0,129706362141876,129706362311790,169.914,OK
sample,memory_rss,-,196117,0,129706362344267,129706362470379,126.112,OK
sample,numa_information,-,196117,0,129706362500764,129706362960602,459.838,OK
sample,thread_enumeration,-,196117,0,129706363057525,129706363074722,17.197,OK
sample,thread_enumeration,-,196117,0,129706363128268,129706363128658,0.390,OK
sample,thread_enumeration,-,196117,0,129706363154883,129706363155096,0.213,OK
sample,per_thread_stat,-,196117,196117,129706363174953,129706363251643,76.690,OK
sample,thread_enumeration,-,196117,0,129706363323489,129706363327100,3.611,END
sample,thread_statistics_total,-,196117,0,129706362991909,129706363356168,364.259,OK
sample,csv_formatting_process,-,196117,0,129706363387745,129706363398053,10.308,OK
sample,csv_write_process,-,196117,0,129706363433611,129706363458769,25.158,OK
sample,csv_formatting_threads,-,196117,0,129706363482866,129706363487896,5.030,OK
sample,csv_write_threads,-,196117,0,129706363504007,129706363517169,13.162,OK
sample,monitor_sample_total,-,196117,0,129706361940576,129706363536577,1596.001,OK
lifecycle,finalization,-,196117,0,129706363554798,129706363563975,9.177,OK
lifecycle,monitor_run_pid_once,-,196117,0,129706361460614,129706363581959,2121.345,OK
worker,monitor_execution,APP_196117_38322435,196117,8589934593,129706361449203,129706363600194,2150.991,OK
worker,job_completed,APP_196117_38322435,196117,8589934593,129706363638773,129706363638970,0.197,OK
discovery,application_discovery_scan,-,-1,0,129706377554911,129706409417558,31862.647,OK
worker,job_submission,APP_196111_38322410,196111,4294967300,129706411065622,129706411090003,24.381,OK
worker,job_submission,APP_196117_38322435,196117,8589934594,129706411159883,129706411186940,27.057,OK
worker,job_started,APP_196111_38322410,196111,4294967300,129706411404818,129706411405051,0.233,OK
worker,job_started,APP_196117_38322435,196117,8589934594,129706411420967,129706411421121,0.154,OK
sample,proc_pid_stat,-,196111,0,129706411522038,129706411628882,106.844,OK
sample,proc_pid_stat,-,196117,0,129706411667392,129706411807625,140.233,OK
lifecycle,perf_counter_attempt,-,196111,0,129706411857678,129706411868083,10.405,UNAVAILABLE
