component,sample_count,mean_us,median_us,min_us,max_us,stddev_us,percentage_of_monitor_time,status
application_discovery_scan,98,34387.796,34379.004,47.757,45440.445,6062.361,NA,MEASURED
cache_perf_read,682,0.129,0.123,0.059,0.291,0.050,0.010,MEASURED
cpu_statistics,341,175.780,170.919,94.456,440.709,52.765,13.440,MEASURED
csv_formatting,329,17.152,15.493,2.261,59.786,9.000,1.311,MEASURED
csv_formatting_process,341,10.106,9.364,5.116,40.585,4.817,0.773,MEASURED
csv_formatting_threads,341,6.443,3.885,1.910,44.507,4.942,0.493,MEASURED
csv_write,331,21.003,13.952,2.585,1433.361,78.641,1.606,MEASURED
csv_write_process,341,15.267,8.669,2.765,1329.069,71.674,1.167,MEASURED
csv_write_threads,341,5.120,4.085,1.944,104.292,6.814,0.391,MEASURED
finalization,201,8.959,6.561,3.712,25.571,6.017,0.004,MEASURED
initialization,201,246.911,223.389,99.544,2490.439,183.060,0.105,MEASURED
job_completed,161,0.134,0.115,0.063,1.226,0.097,NA,MEASURED
job_started,161,0.132,0.129,0.062,0.274,0.051,NA,MEASURED
job_submission,177,14.883,6.362,2.315,151.908,19.279,NA,MEASURED
logging,40,19.889,19.797,10.926,36.071,4.600,1.521,MEASURED
memory_rss,341,120.033,110.834,63.415,2231.094,120.173,9.178,MEASURED
monitor_execution,161,1160.061,1078.878,710.705,2119.347,318.185,NA,MEASURED
monitor_run_pid_once,161,1146.899,1063.828,703.788,2104.642,315.659,100.000,MEASURED
monitor_sample_total,341,1307.860,1172.964,558.938,4952.600,634.297,100.000,MEASURED
monitor_session,40,234248.951,258745.318,153993.782,366693.118,69514.617,100.000,MEASURED
numa_information,341,596.379,515.039,78.288,3465.145,396.017,45.600,MEASURED
page_fault_collection,0,NA,NA,NA,NA,NA,NA,NOT SEPARATELY MEASURABLE: included in proc_pid_stat
per_thread_stat,611,52.091,47.273,23.089,1917.721,77.403,3.983,MEASURED
per_thread_statistics,308,103.336,80.279,27.121,2055.094,126.140,7.901,MEASURED
perf_counter_attempt,402,4.601,3.933,1.143,26.756,3.073,0.352,MEASURED
perf_counter_initialization,201,39.179,23.980,9.492,208.500,32.418,2.996,MEASURED
proc_pid_stat,502,76.316,62.857,23.685,217.364,39.665,5.835,MEASURED
process_metadata_collection,0,NA,NA,NA,NA,NA,NA,NOT SEPARATELY MEASURABLE: included in proc_pid_stat
sampling_interval_sleep,180,50214.433,50112.724,50038.058,52661.920,380.055,NA,MEASURED
thread_enumeration,1634,3.659,0.263,0.101,58.954,7.367,0.280,MEASURED
thread_statistics_total,341,183.511,148.916,57.135,2209.869,147.915,14.031,MEASURED
sampling_interval_sleep_session_total,40,225964.947,250490.533,150249.895,353170.843,66356.289,96.464,MEASURED
unaccounted_session_time,40,380.695,370.420,218.625,1167.513,160.973,0.163,MEASURED
