configuration,run_id,application_count,worker_count,application_index,app_id,completed_cycles,mean_queue_wait_us,max_queue_wait_us,mean_evaluation_interval_ms,max_evaluation_interval_ms,starvation_evidence,jain_fairness_index,status
apps=1;workers=1;mode=BASELINE,primary-a1-w1-measured-4-baseline,1,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=1;mode=BASELINE,primary-a1-w1-measured-5-baseline,1,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=1;mode=BASELINE,primary-a1-w1-measured-6-baseline,1,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=1;mode=BASELINE,primary-a1-w1-measured-7-baseline,1,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=1;mode=BASELINE,primary-a1-w1-measured-8-baseline,1,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=1;workers=1;mode=INTEGRATED,primary-a1-w1-measured-4-integrated,1,1,0,APP_243760_46812705,3.000,165.318,818.180,1036.819,1045.252,NONE,1.000,MEASURED
apps=1;workers=1;mode=INTEGRATED,primary-a1-w1-measured-5-integrated,1,1,0,APP_243778_46813853,3.000,195.635,1213.193,1033.047,1039.286,NONE,1.000,MEASURED
apps=1;workers=1;mode=INTEGRATED,primary-a1-w1-measured-6-integrated,1,1,0,APP_243791_46814270,3.000,272.697,2647.902,1026.748,1032.830,NONE,1.000,MEASURED
apps=1;workers=1;mode=INTEGRATED,primary-a1-w1-measured-7-integrated,1,1,0,APP_243819_46815429,3.000,220.728,2179.049,1024.559,1031.407,NONE,1.000,MEASURED
apps=1;workers=1;mode=INTEGRATED,primary-a1-w1-measured-8-integrated,1,1,0,APP_243832_46815843,3.000,148.872,548.402,1027.616,1033.393,NONE,1.000,MEASURED
apps=1;workers=2;mode=BASELINE,primary-a1-w2-measured-4-baseline,1,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
