scope,application_count,worker_count,mode,metric,count,mean,median,min,max,stddev,status
APPLICATION,1,1,BASELINE,benchmark_elapsed_ms,5,3645.377,3637.866,3592.859,3717.011,45.863,MEASURED
APPLICATION,1,1,BASELINE,benchmark_throughput,5,4894823.071,4904312.265,4799886.957,4965747.068,61165.129,MEASURED
APPLICATION,1,1,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,1,INTEGRATED,benchmark_elapsed_ms,5,3702.401,3705.945,3669.304,3737.046,25.199,MEASURED
APPLICATION,1,1,INTEGRATED,benchmark_throughput,5,4819005.894,4814218.760,4774152.857,4862292.354,32787.499,MEASURED
APPLICATION,1,1,INTEGRATED,mean_queue_wait_us,5,200.650,195.635,148.872,272.697,48.858,MEASURED
APPLICATION,1,1,INTEGRATED,mean_completion_latency_us,5,2229.412,2254.581,2120.084,2295.090,72.181,MEASURED
APPLICATION,1,1,INTEGRATED,mean_pipeline_serial_wait_us,5,212.325,219.200,181.479,231.151,19.441,MEASURED
APPLICATION,1,1,INTEGRATED,mean_phase3_us,5,2002.164,2021.701,1926.947,2070.019,59.444,MEASURED
APPLICATION,1,1,INTEGRATED,mean_phase4_us,5,5128.866,5146.963,4876.384,5350.532,203.660,MEASURED
APPLICATION,1,1,INTEGRATED,mean_phase5_us,5,6202.759,6288.658,5543.145,7143.615,636.014,MEASURED
APPLICATION,1,1,INTEGRATED,mean_phase6_us,5,5133.047,5216.026,4351.362,6074.978,639.311,MEASURED
APPLICATION,1,2,BASELINE,benchmark_elapsed_ms,5,3246.192,3107.237,2951.049,3601.333,324.509,MEASURED
APPLICATION,1,2,BASELINE,benchmark_throughput,5,5539157.750,5741831.177,4954063.394,6045725.127,539297.775,MEASURED
APPLICATION,1,2,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,2,INTEGRATED,benchmark_elapsed_ms,5,3352.584,3260.114,3089.323,3746.313,267.975,MEASURED
APPLICATION,1,2,INTEGRATED,benchmark_throughput,5,5347974.567,5472579.643,4762343.392,5775127.314,412447.578,MEASURED
APPLICATION,1,2,INTEGRATED,mean_queue_wait_us,5,217.304,185.702,138.352,332.582,84.495,MEASURED
APPLICATION,1,2,INTEGRATED,mean_completion_latency_us,5,1975.699,1983.930,1751.687,2199.122,178.272,MEASURED
APPLICATION,1,2,INTEGRATED,mean_pipeline_serial_wait_us,5,179.204,174.147,152.133,218.701,24.405,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase3_us,5,1736.638,1682.433,1591.410,1910.924,136.740,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase4_us,5,4737.588,4549.016,4055.329,5386.269,560.473,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase5_us,5,5617.371,5449.099,5109.361,6641.499,601.232,MEASURED
APPLICATION,1,2,INTEGRATED,mean_phase6_us,5,5044.647,4968.344,4712.519,5605.566,335.198,MEASURED
APPLICATION,1,4,BASELINE,benchmark_elapsed_ms,5,3603.222,3603.735,3444.869,3764.545,119.860,MEASURED
APPLICATION,1,4,BASELINE,benchmark_throughput,5,4955853.393,4950761.224,4739279.034,5179074.090,164920.931,MEASURED
APPLICATION,1,4,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_phase3_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_phase4_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_phase5_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,BASELINE,mean_phase6_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,1,4,INTEGRATED,benchmark_elapsed_ms,5,3578.991,3586.486,3503.298,3646.968,57.302,MEASURED
APPLICATION,1,4,INTEGRATED,benchmark_throughput,5,4986013.926,4974571.736,4892072.039,5092696.282,80046.116,MEASURED
APPLICATION,1,4,INTEGRATED,mean_queue_wait_us,5,154.858,146.545,121.157,183.804,27.377,MEASURED
APPLICATION,1,4,INTEGRATED,mean_completion_latency_us,5,2224.070,2162.926,2123.004,2434.414,128.388,MEASURED
APPLICATION,1,4,INTEGRATED,mean_pipeline_serial_wait_us,5,191.848,187.518,181.402,204.385,11.542,MEASURED
APPLICATION,1,4,INTEGRATED,mean_phase3_us,5,2042.491,1974.702,1953.443,2263.222,128.892,MEASURED
APPLICATION,1,4,INTEGRATED,mean_phase4_us,5,4958.866,4927.077,4331.710,5471.179,446.847,MEASURED
APPLICATION,1,4,INTEGRATED,mean_phase5_us,5,5667.427,5210.651,5013.171,6709.401,752.759,MEASURED
APPLICATION,1,4,INTEGRATED,mean_phase6_us,5,5005.162,4858.569,4497.354,5960.279,588.850,MEASURED
APPLICATION,2,1,BASELINE,benchmark_elapsed_ms,10,3355.032,3352.250,3088.327,3695.253,187.011,MEASURED
APPLICATION,2,1,BASELINE,benchmark_throughput,10,5332352.876,5323053.421,4828148.308,5776989.435,291487.283,MEASURED
APPLICATION,2,1,BASELINE,mean_queue_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,1,BASELINE,mean_completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
APPLICATION,2,1,BASELINE,mean_pipeline_serial_wait_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
