run_id,run_type,mode,application_count,worker_count,iterations,group_makespan_ms,aggregate_throughput,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,runtime_tree_cpu_percent,runtime_tree_rss_kb,runtime_tree_vms_kb,max_queue_depth,deferred_jobs,saturation_events,discovery_scan_count,discovery_total_us,status,notes
primary-a1-w1-warmup-1-baseline,WARMUP,BASELINE,1,1,17841231,3634.560,4908773.087,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-warmup-1-integrated,WARMUP,INTEGRATED,1,1,17841231,3835.756,4651294.248,22.577,5444.000,81896.000,22.577,8048.000,162016.000,0.000,0,0,16,768325.676,MEASURED,Error: target PID 243622 is unavailable for one sample.
primary-a1-w1-warmup-2-integrated,WARMUP,INTEGRATED,1,1,17841231,3797.537,4698105.916,21.752,5476.000,81888.000,21.752,10048.000,163776.000,0.000,0,0,16,712887.786,MEASURED,Error: target PID 243635 is unavailable for one sample.
primary-a1-w1-warmup-2-baseline,WARMUP,BASELINE,1,1,17841231,3887.676,4589175.908,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-warmup-3-baseline,WARMUP,BASELINE,1,1,17841231,4012.149,4446802.109,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-warmup-3-integrated,WARMUP,INTEGRATED,1,1,17841231,3832.360,4655415.911,22.414,5736.000,81860.000,22.414,8324.000,85844.000,0.000,0,0,16,752395.790,MEASURED,
primary-a1-w1-measured-4-integrated,MEASURED,INTEGRATED,1,1,17841231,3737.058,4774138.295,22.054,5544.000,81852.000,22.054,10116.000,163704.000,0.000,0,0,16,738688.763,MEASURED,
primary-a1-w1-measured-4-baseline,MEASURED,BASELINE,1,1,17841231,3622.537,4925065.871,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-measured-5-baseline,MEASURED,BASELINE,1,1,17841231,3648.203,4890416.817,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-measured-5-integrated,MEASURED,INTEGRATED,1,1,17841231,3757.837,4747739.989,22.648,5596.000,81876.000,22.648,10148.000,163752.000,0.000,0,0,16,750698.647,MEASURED,
primary-a1-w1-measured-6-integrated,MEASURED,INTEGRATED,1,1,17841231,3741.584,4768363.091,21.950,5736.000,81876.000,21.950,8056.000,85860.000,0.000,0,0,16,741941.051,MEASURED,
primary-a1-w1-measured-6-baseline,MEASURED,BASELINE,1,1,17841231,3740.230,4770089.636,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-measured-7-baseline,MEASURED,BASELINE,1,1,17841231,3680.964,4846890.786,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w1-measured-7-integrated,MEASURED,INTEGRATED,1,1,17841231,3720.788,4795014.496,22.551,5596.000,81876.000,22.551,8256.000,161992.000,0.000,0,0,16,756745.339,MEASURED,
primary-a1-w1-measured-8-integrated,MEASURED,INTEGRATED,1,1,17841231,3691.732,4832753.758,22.496,5528.000,81876.000,22.496,10084.000,163752.000,0.000,0,0,16,753817.292,MEASURED,
primary-a1-w1-measured-8-baseline,MEASURED,BASELINE,1,1,17841231,3661.230,4873015.263,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-1-baseline,WARMUP,BASELINE,1,2,17841231,3653.825,4882891.275,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-1-integrated,WARMUP,INTEGRATED,1,2,17841231,3767.709,4735299.236,22.231,5624.000,155608.000,22.231,7908.000,159592.000,0.000,0,0,16,743385.617,MEASURED,Error: target PID 243851 is unavailable for one sample.
primary-a1-w2-warmup-2-integrated,WARMUP,INTEGRATED,1,2,17841231,3787.869,4710097.595,22.120,5600.000,155608.000,22.120,6788.000,159540.000,0.000,0,0,16,738013.352,MEASURED,Error: target PID 243865 is unavailable for one sample.
primary-a1-w2-warmup-2-baseline,WARMUP,BASELINE,1,2,17841231,3670.357,4860898.406,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-3-baseline,WARMUP,BASELINE,1,2,17841231,3719.802,4796284.900,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-warmup-3-integrated,WARMUP,INTEGRATED,1,2,17841231,3760.822,4743970.959,23.298,5732.000,155608.000,23.298,9920.000,311216.000,0.000,0,0,16,796089.559,MEASURED,Error: target PID 243888 is unavailable for one sample.
primary-a1-w2-measured-4-integrated,MEASURED,INTEGRATED,1,2,17841231,3776.992,4723660.879,22.783,5464.000,155608.000,22.783,9944.000,311216.000,0.000,0,0,16,765971.251,MEASURED,Error: target PID 243902 is unavailable for one sample.
primary-a1-w2-measured-4-baseline,MEASURED,BASELINE,1,2,17841231,3619.537,4929147.038,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-5-baseline,MEASURED,BASELINE,1,2,17841231,3133.827,5693113.085,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-5-integrated,MEASURED,INTEGRATED,1,2,17841231,3111.430,5734093.256,18.334,5460.000,155608.000,18.334,7792.000,159592.000,0.000,0,0,16,605658.406,MEASURED,
primary-a1-w2-measured-6-integrated,MEASURED,INTEGRATED,1,2,17841231,3288.467,5425394.928,19.055,5468.000,155600.000,19.055,10076.000,311200.000,0.000,0,0,16,640396.368,MEASURED,Error: target PID 243935 is unavailable for one sample.
primary-a1-w2-measured-6-baseline,MEASURED,BASELINE,1,2,17841231,2973.483,6000111.421,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-7-baseline,MEASURED,BASELINE,1,2,17841231,3010.730,5925882.410,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w2-measured-7-integrated,MEASURED,INTEGRATED,1,2,17841231,3191.677,5589923.080,19.011,5600.000,155608.000,19.011,8000.000,159592.000,0.000,0,0,16,634233.613,MEASURED,
primary-a1-w2-measured-8-integrated,MEASURED,INTEGRATED,1,2,17841231,3521.897,5065800.948,20.482,5684.000,155608.000,20.482,10176.000,311216.000,0.000,0,0,16,666178.489,MEASURED,
primary-a1-w2-measured-8-baseline,MEASURED,BASELINE,1,2,17841231,3629.522,4915586.970,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w4-warmup-1-baseline,WARMUP,BASELINE,1,4,17841231,3742.103,4767702.100,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,MEASURED,
primary-a1-w4-warmup-1-integrated,WARMUP,INTEGRATED,1,4,17841231,3772.331,4729497.892,22.027,5736.000,303076.000,22.027,10464.000,606152.000,0.000,0,0,16,756644.549,MEASURED,Error: target PID 244000 is unavailable for one sample.
primary-a1-w4-warmup-2-integrated,WARMUP,INTEGRATED,1,4,17841231,3650.902,4886801.330,21.100,5880.000,303076.000,21.100,10608.000,606152.000,0.000,0,0,16,692472.252,MEASURED,
