mode,application_count,worker_count,aggregate_throughput,mean_application_elapsed_ms,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,mean_queue_wait_us,max_queue_wait_us,max_queue_depth,deferred_jobs,saturation_events,mean_serial_wait_us,max_serial_wait_us,mean_completion_latency_us,fairness_index,status
BASELINE,1,1,4861095.675,3645.377,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,1,1,4783601.926,3702.401,22.340,5600.000,81871.200,200.650,2647.902,0.000,0.000,0.000,212.325,287.058,2229.412,1.000,MEASURED
BASELINE,1,2,5492768.185,3246.192,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,1,2,5307774.618,3352.584,19.933,5535.200,155606.400,217.304,2686.199,0.000,0.000,0.000,179.204,229.298,1975.699,1.000,MEASURED
BASELINE,1,4,4921793.750,3603.222,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,1,4,4943057.404,3578.991,22.054,5610.400,303071.200,154.858,1506.621,0.000,0.000,0.000,191.848,253.068,2224.070,1.000,MEASURED
BASELINE,2,1,10463543.622,3355.032,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,2,1,9647842.062,3651.999,23.365,5498.400,81868.000,1231.824,9956.102,1.000,0.000,0.000,9939.894,54995.547,3203.018,1.000,MEASURED
BASELINE,2,2,9590760.709,3660.204,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,2,2,9269620.185,3786.651,24.735,5644.000,155588.000,311.674,6115.796,1.000,0.000,0.000,8844.467,24695.010,2614.986,1.000,MEASURED
BASELINE,2,4,10447606.901,3366.148,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,2,4,10097149.753,3495.134,22.570,5708.000,303084.000,206.878,3343.760,1.000,0.000,0.000,8728.382,23853.095,2378.373,1.000,MEASURED
BASELINE,4,1,15169216.759,4588.678,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,4,1,14098916.622,4953.829,29.016,5560.000,81876.000,5125.486,27714.155,3.000,0.000,0.000,38036.884,113342.563,7998.332,0.997,MEASURED
BASELINE,4,2,16866615.337,3802.566,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,4,2,15595978.427,4107.181,27.822,5595.600,155608.000,2113.801,15339.202,3.000,0.000,0.000,31405.291,129125.506,5020.548,0.973,MEASURED
BASELINE,4,4,15705197.953,4417.973,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,4,4,14794504.289,4664.697,29.180,5779.200,303076.000,1663.257,10828.376,3.000,0.000,0.000,39838.602,106253.740,5361.531,1.000,MEASURED
BASELINE,8,1,20081055.281,6585.122,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,8,1,18516275.911,7202.869,26.958,5812.000,81906.400,15674.965,59500.068,7.000,0.000,0.000,153599.224,380848.901,20059.275,0.997,MEASURED
BASELINE,8,2,19421400.026,6995.026,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,8,2,18620151.976,7243.856,26.294,5827.200,155644.000,8728.605,42983.746,7.000,0.000,0.000,154402.950,408358.183,13778.528,0.997,MEASURED
BASELINE,8,4,19972113.561,6747.580,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,MEASURED
INTEGRATED,8,4,18632275.228,7129.173,27.206,5828.000,303108.000,5978.685,22578.371,7.000,0.000,0.000,157191.097,384411.237,12241.793,0.996,MEASURED
