run_id,input_type,workload,threads,memory,iterations,run_number,warmup,execution_time,throughput,cpu_utilization,rss,page_faults,thread_count,worker_count,monitoring_overhead,classifier_overhead,decision_overhead,validation_overhead,migration_overhead,feedback_overhead,total_overhead,runtime_orchestration_overhead,phase_pipeline_status,status
baseline-sequential-0,REAL,sequential,2,8,1000000,0,true,0.127550720,15680036.929086398,179.258886184,9928.000000000,2125,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,WARMUP
awavma-sequential-0,REAL,sequential,2,8,1000000,0,true,0.157729209,12679959.612939842,111.861666667,10120.000000000,2131.000000000,3.000000000,UNAVAILABLE,0.061332209,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,WARMUP
baseline-sequential-1,REAL,sequential,2,8,1000000,1,false,0.121370304,16478495.431968141,174.864849975,9928.000000000,2126,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-sequential-1,REAL,sequential,2,8,1000000,1,false,0.156868065,12749567.606842993,125.578666667,10124.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.065560065,0.002461859,0.002807263,0.002435076,0.002640626,0.002819392,0.078724281,UNAVAILABLE,PASS,MEASURED
baseline-sequential-2,REAL,sequential,2,8,1000000,2,false,0.127485469,15688062.456970725,173.089530700,10052.000000000,2125,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-sequential-2,REAL,sequential,2,8,1000000,2,false,0.158603602,12610054.089306630,119.666666667,10124.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.042378602,0.003012996,0.003449222,0.002906967,0.002735765,0.003054698,0.057538250,UNAVAILABLE,PASS,MEASURED
baseline-sequential-3,REAL,sequential,2,8,1000000,3,false,0.136744839,14625780.501144761,168.840741394,9992.000000000,2127,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-sequential-3,REAL,sequential,2,8,1000000,3,false,0.156327054,12793690.847127212,119.666666667,10124.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.067616054,0.003074896,0.003737433,0.003435944,0.003491400,0.004059023,0.085414750,UNAVAILABLE,PASS,MEASURED
baseline-sequential-4,REAL,sequential,2,8,1000000,4,false,0.127782273,15651623.288395569,174.475688026,9992.000000000,2127,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-sequential-4,REAL,sequential,2,8,1000000,4,false,0.157314374,12713396.424132908,119.666666667,10120.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.054030374,0.002710845,0.003137067,0.003301476,0.003407734,0.003697828,0.070285324,UNAVAILABLE,PASS,MEASURED
baseline-sequential-5,REAL,sequential,2,8,1000000,5,false,0.131795011,15175081.248515980,184.805174461,9928.000000000,2127,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-sequential-5,REAL,sequential,2,8,1000000,5,false,0.156336520,12792916.204247603,120.863333333,10124.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.060150520,0.003365409,0.004947884,0.003172816,0.003919339,0.003971877,0.079527845,UNAVAILABLE,PASS,MEASURED
baseline-random-0,REAL,random,2,8,1000000,0,true,0.222090756,9005327.533889692,185.441306709,10056.000000000,2127,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,WARMUP
awavma-random-0,REAL,random,2,8,1000000,0,true,0.311462524,6421318.283590277,152.097166667,10244.000000000,2133.000000000,3.000000000,UNAVAILABLE,0.036888524,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,WARMUP
baseline-random-1,REAL,random,2,8,1000000,1,false,0.246536043,8112404.075788051,183.564234465,9992.000000000,2129,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-random-1,REAL,random,2,8,1000000,1,false,0.317917515,6290939.962841819,157.222500000,10252.000000000,2134.000000000,3.000000000,UNAVAILABLE,0.066502515,0.003497252,0.005561576,0.003990545,0.005667275,0.006145975,0.091365138,UNAVAILABLE,PASS,MEASURED
baseline-random-2,REAL,random,2,8,1000000,2,false,0.297683305,6718549.432811175,183.484928720,9928.000000000,2126,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-random-2,REAL,random,2,8,1000000,2,false,0.314466553,6359976.859009122,158.207333333,10120.000000000,2132.000000000,3.000000000,UNAVAILABLE,0.054093553,0.003395234,0.004081166,0.003395104,0.004095735,0.005276704,0.074337496,UNAVAILABLE,PASS,MEASURED
baseline-random-3,REAL,random,2,8,1000000,3,false,0.272844856,7330173.012091243,179.052670132,10056.000000000,2126,3.000000000,UNAVAILABLE,NA,NA,NA,NA,NA,NA,NA,UNAVAILABLE,NOT_RUN,MEASURED
awavma-random-3,REAL,random,2,8,1000000,3,false,0.491482061,4069324.516003057,96.786000000,10124.000000000,2133.000000000,3.000000000,UNAVAILABLE,0.072472061,0.010745016,0.014523377,0.005370208,0.004507130,0.004946014,0.112563806,UNAVAILABLE,PASS,MEASURED
