workload,input_type,metric,baseline_mean,awavma_mean,absolute_difference,percentage_difference,median,minimum,maximum,stddev,sample_count,status
sequential,REAL,execution_time,0.129035579,0.157089923,0.028054344,21.741556843,0.156868065,0.156327054,0.158603602,0.000940799,5,MEASURED
sequential,REAL,throughput,15523808.585399035,12731925.034331469,-2791883.551067566,-17.984527030,12749567.606842993,12610054.089306630,12793690.847127212,75898.016179640,5,MEASURED
sequential,REAL,cpu_utilization,175.215196911,121.088400000,-54.126796911,-30.891610925,119.666666667,119.666666667,125.578666667,2.563061000,5,MEASURED
sequential,REAL,rss,9978.400000000,10123.200000000,144.800000000,1.451134450,10124.000000000,10120.000000000,10124.000000000,1.788854382,5,MEASURED
sequential,REAL,page_faults,2126.400000000,2132.000000000,5.600000000,0.263355907,2132.000000000,2132.000000000,2132.000000000,0.000000000,5,MEASURED
sequential,REAL,monitoring_overhead,NA,0.057947123,NA,NA,0.060150520,0.042378602,0.067616054,0.010173739,5,MEASURED
sequential,REAL,classifier_overhead,NA,0.002925201,NA,NA,0.003012996,0.002461859,0.003365409,0.000348042,5,MEASURED
sequential,REAL,decision_overhead,NA,0.003615774,NA,NA,0.003449222,0.002807263,0.004947884,0.000821570,5,MEASURED
sequential,REAL,validation_overhead,NA,0.003050456,NA,NA,0.003172816,0.002435076,0.003435944,0.000395558,5,MEASURED
sequential,REAL,migration_overhead,NA,0.003238973,NA,NA,0.003407734,0.002640626,0.003919339,0.000539985,5,MEASURED
sequential,REAL,feedback_overhead,NA,0.003520564,NA,NA,0.003697828,0.002819392,0.004059023,0.000555364,5,MEASURED
sequential,REAL,total_overhead,NA,0.074298090,NA,NA,0.078724281,0.057538250,0.085414750,0.010811061,5,MEASURED
random,REAL,execution_time,0.282540160,0.340124969,0.057584809,20.381105922,0.316304551,0.260454164,0.491482061,0.087999068,5,MEASURED
random,REAL,throughput,7128860.248849541,6144431.129814161,-984429.119035380,-13.809067434,6323019.993455796,4069324.516003057,7678894.317761010,1300044.568043026,5,MEASURED
random,REAL,cpu_utilization,181.453593516,141.776206667,-39.677386850,-21.866410073,156.620000000,96.786000000,158.207333333,26.248919891,5,MEASURED
random,REAL,rss,9992.000000000,10172.800000000,180.800000000,1.809447558,10124.000000000,10120.000000000,10252.000000000,70.506737267,5,MEASURED
random,REAL,page_faults,2126.400000000,2132.600000000,6.200000000,0.291572611,2133.000000000,2131.000000000,2134.000000000,1.140175425,5,MEASURED
random,REAL,monitoring_overhead,NA,0.060206569,NA,NA,0.066502515,0.039866551,0.072472061,0.013261257,5,MEASURED
random,REAL,classifier_overhead,NA,0.005312777,NA,NA,0.004113728,0.003395234,0.010745016,0.003089100,5,MEASURED
random,REAL,decision_overhead,NA,0.006781249,NA,NA,0.005552227,0.004081166,0.014523377,0.004386187,5,MEASURED
random,REAL,validation_overhead,NA,0.004291814,NA,NA,0.003990545,0.003395104,0.005370208,0.000848076,5,MEASURED
random,REAL,migration_overhead,NA,0.004798874,NA,NA,0.004507130,0.004095735,0.005667275,0.000784626,5,MEASURED
random,REAL,feedback_overhead,NA,0.005654772,NA,NA,0.005276704,0.004683945,0.007221223,0.001034750,5,MEASURED
random,REAL,total_overhead,NA,0.087046055,NA,NA,0.088911642,0.068052194,0.112563806,0.017288470,5,MEASURED
hot,REAL,execution_time,0.137307980,0.156094925,0.018786945,13.682340571,0.155959284,0.155725734,0.156499092,0.000314677,5,MEASURED
hot,REAL,throughput,14747165.417433964,12812758.005314244,-1934407.412119720,-13.117147312,12823859.847455971,12779626.863056868,12843092.458722344,25819.544308773,5,MEASURED
hot,REAL,cpu_utilization,177.773718628,116.940466667,-60.833251961,-34.219485552,117.859666667,111.861666667,122.743666667,4.154971324,5,MEASURED
hot,REAL,rss,10056.000000000,10121.600000000,65.600000000,0.652346858,10120.000000000,10120.000000000,10124.000000000,2.190890230,5,MEASURED
hot,REAL,page_faults,2126.000000000,2131.200000000,5.200000000,0.244590781,2131.000000000,2131.000000000,2132.000000000,0.447213595,5,MEASURED
hot,REAL,monitoring_overhead,NA,0.042115725,NA,NA,0.042352734,0.038043284,0.045185248,0.002918313,5,MEASURED
hot,REAL,classifier_overhead,NA,0.002671430,NA,NA,0.002655762,0.002321110,0.003289184,0.000398643,5,MEASURED
hot,REAL,decision_overhead,NA,0.003617043,NA,NA,0.003215576,0.002788205,0.005664794,0.001161711,5,MEASURED
hot,REAL,validation_overhead,NA,0.002942955,NA,NA,0.002745447,0.002374557,0.003840948,0.000644441,5,MEASURED
hot,REAL,migration_overhead,NA,0.003126442,NA,NA,0.003107245,0.002669352,0.003686228,0.000371985,5,MEASURED
hot,REAL,feedback_overhead,NA,0.003241359,NA,NA,0.003337630,0.002803496,0.003382949,0.000247111,5,MEASURED
hot,REAL,total_overhead,NA,0.057714955,NA,NA,0.056471236,0.053064863,0.064326195,0.004196385,5,MEASURED
moderate,REAL,execution_time,0.216056381,0.229819743,0.013763363,6.370264448,0.209972804,0.208244519,0.261479067,0.028646562,5,MEASURED
moderate,REAL,throughput,9349028.124947950,8807197.090378659,-541831.034569291,-5.795586743,9525043.062686168,7648795.840172845,9604094.309799554,1050221.554561064,5,MEASURED
moderate,REAL,cpu_utilization,184.776873416,142.683260000,-42.093613416,-22.780780212,139.750000000,136.027500000,150.824400000,6.061759601,5,MEASURED
moderate,REAL,rss,10004.000000000,10147.200000000,143.200000000,1.431427429,10124.000000000,10120.000000000,10244.000000000,54.140557810,5,MEASURED
moderate,REAL,page_faults,2125.800000000,2132.400000000,6.600000000,0.310471352,2133.000000000,2131.000000000,2133.000000000,0.894427191,5,MEASURED
moderate,REAL,monitoring_overhead,NA,0.045961143,NA,NA,0.035393668,0.030683519,0.070395659,0.017925705,5,MEASURED
moderate,REAL,classifier_overhead,NA,0.003202637,NA,NA,0.002935686,0.002306878,0.004923972,0.001014216,5,MEASURED
moderate,REAL,decision_overhead,NA,0.003635139,NA,NA,0.003354628,0.002785348,0.004838255,0.000773219,5,MEASURED
moderate,REAL,validation_overhead,NA,0.002894733,NA,NA,0.002943317,0.002422177,0.003399030,0.000420769,5,MEASURED
moderate,REAL,migration_overhead,NA,0.003346425,NA,NA,0.003397310,0.002719806,0.004076576,0.000552861,5,MEASURED
moderate,REAL,feedback_overhead,NA,0.003512503,NA,NA,0.003495551,0.003032278,0.004325725,0.000512268,5,MEASURED
moderate,REAL,total_overhead,NA,0.062552580,NA,NA,0.051989451,0.047805745,0.083662146,0.017430109,5,MEASURED
cold,REAL,execution_time,0.270380206,0.349238222,0.078858016,29.165602381,0.367947380,0.313497125,0.376254990,0.030508099,5,MEASURED
cold,REAL,throughput,7468820.929098924,5763043.657409002,-1705777.271689922,-22.838641974,5435559.834666001,5315544.120779433,6379643.832530574,519423.835198416,5,MEASURED
cold,REAL,cpu_utilization,185.345430490,161.144633333,-24.200797156,-13.057131807,160.246000000,155.394142857,166.125142857,4.349496109,5,MEASURED
cold,REAL,rss,10029.600000000,10198.400000000,168.800000000,1.683018266,10248.000000000,10120.000000000,10252.000000000,69.776786971,5,MEASURED
cold,REAL,page_faults,2126.200000000,2132.800000000,6.600000000,0.310412943,2133.000000000,2131.000000000,2134.000000000,1.303840481,5,MEASURED
cold,REAL,monitoring_overhead,NA,0.050984222,NA,NA,0.056411014,0.026593125,0.067358990,0.016490907,5,MEASURED
cold,REAL,classifier_overhead,NA,0.004655943,NA,NA,0.005132319,0.003398646,0.005378678,0.000887936,5,MEASURED
cold,REAL,decision_overhead,NA,0.005730368,NA,NA,0.005431623,0.004559284,0.007579078,0.001122814,5,MEASURED
cold,REAL,validation_overhead,NA,0.003986909,NA,NA,0.003830979,0.003659728,0.004719021,0.000438116,5,MEASURED
