run_id,variant,run_type,run_index,application_count,worker_count,pipeline_total_us,pipeline_service_rate_apps_sec,aggregate_throughput,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,status,notes
phase46-a1-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,1,2,52232.748,57.435,4865631.842,23.762,5476.000,155620.000,MEASURED,
phase46-a1-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,1,2,50004.637,59.994,4868404.785,22.550,5624.000,155628.000,MEASURED,
phase46-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,46146.154,65.011,4672891.145,23.972,5632.000,155628.000,MEASURED,Error: target PID 253846 is unavailable for one sample.
phase46-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,56334.730,53.253,4815235.948,23.958,5464.000,155620.000,MEASURED,
phase46-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,61731.299,48.598,4642409.358,21.930,5660.000,155620.000,MEASURED,Error: target PID 253888 is unavailable for one sample.
phase46-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,45293.363,66.235,4994533.829,21.694,5528.000,155620.000,MEASURED,Error: target PID 253909 is unavailable for one sample.
phase46-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,48215.690,62.220,4997435.845,24.567,5612.000,155620.000,MEASURED,Error: target PID 253923 is unavailable for one sample.
phase46-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,55720.566,53.840,4847487.208,23.324,5748.000,155628.000,MEASURED,
phase46-a2-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,2,2,104668.577,57.324,9528593.191,25.520,5496.000,155600.000,MEASURED,
phase46-a2-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,2,2,130951.968,45.818,9236861.005,26.044,5624.000,155600.000,MEASURED,"Error: target PID 254122 is unavailable for one sample.
Error: target PID 254123 is unavailable for one sample."
phase46-a2-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,2,2,103179.158,58.151,9498550.733,26.413,5624.000,155600.000,MEASURED,
phase46-a2-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,2,2,123929.537,48.415,9491567.358,25.887,5680.000,155600.000,MEASURED,Error: target PID 254173 is unavailable for one sample.
phase46-a2-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,2,2,119300.455,50.293,9590854.811,24.477,5628.000,155600.000,MEASURED,Error: target PID 254199 is unavailable for one sample.
phase46-a2-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,2,2,98549.376,60.883,9983382.835,24.131,5756.000,155628.000,MEASURED,"Error: target PID 254224 is unavailable for one sample.
Error: target PID 254225 is unavailable for one sample."
phase46-a2-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,2,2,91643.309,65.471,10719526.132,21.446,5736.000,155600.000,MEASURED,Error: target PID 254252 is unavailable for one sample.
phase46-a2-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,2,2,106982.540,56.084,9849866.359,23.010,5676.000,155628.000,MEASURED,Error: target PID 254276 is unavailable for one sample.
phase46-a4-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,4,2,351897.751,39.784,15885192.472,28.675,5540.000,155616.000,MEASURED,"Error: target PID 254303 is unavailable for one sample.
Error: target PID 254304 is unavailable for one sample.
Error: target PID 254305 is unavailable for one sample.
Error: target PID 254302 is unavailable for one sample."
phase46-a4-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,4,2,368715.596,40.682,15268336.758,29.271,5828.000,155616.000,MEASURED,"Error: target PID 254359 is unavailable for one sample.
Error: target PID 254357 is unavailable for one sample."
phase46-a4-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,4,2,280899.268,42.720,17039059.483,30.752,5836.000,155616.000,MEASURED,"Error: target PID 254415 is unavailable for one sample.
Error: target PID 254414 is unavailable for one sample."
phase46-a4-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,4,2,295122.751,47.438,16439157.677,32.179,5488.000,155616.000,MEASURED,"Error: target PID 254460 is unavailable for one sample.
Error: target PID 254462 is unavailable for one sample."
phase46-a4-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,4,2,315700.355,44.346,16004992.973,28.811,5480.000,155616.000,MEASURED,"Error: target PID 254514 is unavailable for one sample.
Error: target PID 254515 is unavailable for one sample.
Error: target PID 254517 is unavailable for one sample."
phase46-a4-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,4,2,314435.605,44.524,15651432.803,29.085,5772.000,155616.000,MEASURED,"Error: target PID 254567 is unavailable for one sample.
Error: target PID 254570 is unavailable for one sample.
Error: target PID 254569 is unavailable for one sample."
phase46-a4-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,4,2,347347.346,40.305,15959743.166,29.350,5852.000,155616.000,MEASURED,"Error: target PID 254620 is unavailable for one sample.
Error: target PID 254621 is unavailable for one sample.
Error: target PID 254623 is unavailable for one sample."
phase46-a4-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,4,2,321440.254,46.665,16180748.239,29.964,5884.000,155616.000,MEASURED,Error: target PID 254674 is unavailable for one sample.
phase46-a8-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,8,2,1701170.795,21.750,19823968.214,30.600,5968.000,155652.000,MEASURED,"Error: target PID 254731 is unavailable for one sample.
Error: target PID 254735 is unavailable for one sample.
Error: target PID 254736 is unavailable for one sample.
Error: target PID 254730 is unavailable for one sample.
Error: target PID 254737 is unavailable for one sample.
Error: target PID 254732 is unavailable for one sample."
phase46-a8-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,8,2,1625224.262,23.381,20045641.678,29.434,5840.000,155652.000,MEASURED,"Error: target PID 254864 is unavailable for one sample.
Error: target PID 254865 is unavailable for one sample.
Error: target PID 254866 is unavailable for one sample."
phase46-a8-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,8,2,1648803.687,23.654,19601685.743,30.898,5596.000,155652.000,MEASURED,"Error: target PID 254996 is unavailable for one sample.
Error: target PID 255001 is unavailable for one sample."
