variant,application_count,phase,metric,count,mean,median,min,max,stddev,status
PHASE4_IN_PROCESS,1,phase4,serial_wait_us,17,243.413,237.176,178.603,352.817,38.898,MEASURED
PHASE4_IN_PROCESS,1,phase4,parent_prepare_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase4,fork_wait_wall_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase4,child_profiled_total_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase4,startup_uninstrumented_residual_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase4,direct_api_us,17,442.063,422.265,238.030,694.818,125.046,MEASURED
PHASE4_IN_PROCESS,1,phase4,file_io_us,17,636.878,499.779,198.510,3220.324,680.527,MEASURED
PHASE4_IN_PROCESS,1,phase4,result_parse_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase4,total_phase_us,17,451.175,432.828,243.784,705.014,125.904,MEASURED
PHASE4_IN_PROCESS,1,phase4,pipeline_total_us,17,54887.836,51432.853,40422.633,64550.360,9335.628,MEASURED
PHASE4_IN_PROCESS,1,phase4,pipeline_service_rate_apps_sec,17,63.687,61.967,58.328,74.216,5.317,MEASURED
PHASE4_IN_PROCESS,1,phase4,aggregate_throughput,17,4479531.036,4603217.797,4297272.557,4659410.150,172885.564,MEASURED
PHASE4_IN_PROCESS,1,phase4,runtime_cpu_percent,17,25.449,26.026,23.378,26.988,1.455,MEASURED
PHASE4_IN_PROCESS,1,phase4,completion_latency_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase5,serial_wait_us,17,243.413,237.176,178.603,352.817,38.898,MEASURED
PHASE4_IN_PROCESS,1,phase5,parent_prepare_us,17,48.079,47.388,30.352,89.095,13.556,MEASURED
PHASE4_IN_PROCESS,1,phase5,fork_wait_wall_us,17,7258.835,6631.776,5099.338,10388.918,1862.292,MEASURED
PHASE4_IN_PROCESS,1,phase5,child_profiled_total_us,17,1763.728,1403.818,1053.694,4268.109,972.301,MEASURED
PHASE4_IN_PROCESS,1,phase5,startup_uninstrumented_residual_us,17,5495.106,4670.954,4045.644,8812.508,1592.034,MEASURED
PHASE4_IN_PROCESS,1,phase5,direct_api_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
PHASE4_IN_PROCESS,1,phase5,file_io_us,0,NA,NA,NA,NA,NA,UNAVAILABLE
