variant,application_count,phase,component,count,mean_us,median_us,share_of_phase56_profiled_percent,status
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_application_state_persist,15,123.519,125.292,8.372,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_history_cleanup,15,256.369,246.417,17.376,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_logging,15,35.035,27.580,2.375,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_output_history_write,127,48.021,36.513,27.557,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_state_load_or_initialize,15,280.678,258.772,19.024,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase5,p5_state_path_prepare,15,24.169,23.567,1.638,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,p6_human_log_write,127,15.127,11.317,14.905,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,phase6,p6_output_history_write,127,45.979,30.256,45.305,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_application_state_persist,30,157.788,149.481,8.733,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_history_cleanup,30,317.052,296.318,17.547,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_logging,30,37.464,33.619,2.073,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_output_history_write,250,61.670,59.533,28.443,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_state_load_or_initialize,30,330.037,307.065,18.266,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase5,p5_state_path_prepare,30,27.863,26.991,1.542,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase6,p6_human_log_write,250,18.222,14.332,16.555,MEASURED
SUBPROCESS_SERIAL_BASELINE,2,phase6,p6_output_history_write,250,60.497,44.474,54.963,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_application_state_persist,79,183.218,179.279,7.288,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_history_cleanup,79,411.993,371.567,16.389,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_logging,79,40.242,30.899,1.601,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_output_history_write,695,91.071,61.207,31.871,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_state_load_or_initialize,79,421.865,303.188,16.781,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase5,p5_state_path_prepare,79,32.224,28.541,1.282,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase6,p6_human_log_write,695,32.500,18.196,20.107,MEASURED
SUBPROCESS_SERIAL_BASELINE,4,phase6,p6_output_history_write,695,81.434,48.859,50.379,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_application_state_persist,211,403.535,215.522,8.602,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_history_cleanup,211,581.070,432.255,12.387,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_logging,211,70.642,34.472,1.506,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_output_history_write,1379,258.515,64.214,36.016,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_state_load_or_initialize,211,796.749,307.126,16.985,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase5,p5_state_path_prepare,211,70.944,34.060,1.512,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase6,p6_human_log_write,1379,70.955,20.321,19.108,MEASURED
SUBPROCESS_SERIAL_BASELINE,8,phase6,p6_output_history_write,1379,175.561,53.837,47.277,MEASURED
