run_id,variant,run_type,run_index,application_count,worker_count,pipeline_total_us,pipeline_service_rate_apps_sec,aggregate_throughput,runtime_cpu_percent,runtime_rss_kb,runtime_vms_kb,status,notes
phase56-SUBPROCESS_SERIAL_BASELINE-a1-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,1,2,49694.668,60.369,4914561.727,22.197,6108.000,156820.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a1-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,1,2,57047.737,52.588,4897662.715,23.466,5964.000,156812.000,MEASURED,Error: target PID 265818 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a1-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,1,2,56520.999,53.078,4915029.340,23.662,6028.000,156812.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a1-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,1,2,61205.064,49.016,4908136.160,23.321,5900.000,156784.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a1-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,1,2,49869.225,60.157,5009727.954,20.870,6188.000,156812.000,MEASURED,Error: target PID 265861 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a1-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,1,2,46683.193,64.263,5667761.371,19.045,6120.000,156812.000,MEASURED,Error: target PID 265876 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a1-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,1,2,43678.255,68.684,5782866.004,19.704,6092.000,156812.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a1-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,1,2,50596.388,59.293,5726811.917,19.287,6040.000,156812.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a2-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,2,2,90336.990,66.418,10712148.298,21.780,6156.000,156792.000,MEASURED,Error: target PID 265918 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a2-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,2,2,107180.924,55.980,9816518.786,24.715,6032.000,156820.000,MEASURED,"Error: target PID 265944 is unavailable for one sample.
Error: target PID 265945 is unavailable for one sample."
phase56-SUBPROCESS_SERIAL_BASELINE-a2-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,2,2,103474.802,57.985,9463855.606,25.767,6304.000,156792.000,MEASURED,"Error: target PID 265970 is unavailable for one sample.
Error: target PID 265971 is unavailable for one sample."
phase56-SUBPROCESS_SERIAL_BASELINE-a2-measured-4,SUBPROCESS_SERIAL_BASELINE,MEASURED,4,2,2,122689.421,48.904,9245168.825,25.023,6320.000,156820.000,MEASURED,"Error: target PID 265995 is unavailable for one sample.
Error: target PID 265996 is unavailable for one sample."
phase56-SUBPROCESS_SERIAL_BASELINE-a2-measured-5,SUBPROCESS_SERIAL_BASELINE,MEASURED,5,2,2,106497.603,56.339,9420042.266,25.184,5872.000,156792.000,MEASURED,Error: target PID 266023 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a2-measured-6,SUBPROCESS_SERIAL_BASELINE,MEASURED,6,2,2,119705.320,50.123,9581833.651,25.973,6152.000,156792.000,MEASURED,Error: target PID 266048 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a2-measured-7,SUBPROCESS_SERIAL_BASELINE,MEASURED,7,2,2,122702.570,48.899,9710985.205,25.308,6224.000,156792.000,MEASURED,Error: target PID 266072 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a2-measured-8,SUBPROCESS_SERIAL_BASELINE,MEASURED,8,2,2,106061.519,56.571,9273730.740,25.927,6148.000,156792.000,MEASURED,Error: target PID 266097 is unavailable for one sample.
phase56-SUBPROCESS_SERIAL_BASELINE-a4-warmup-1,SUBPROCESS_SERIAL_BASELINE,WARMUP,1,4,2,408474.438,39.170,15827093.110,28.883,6084.000,156808.000,MEASURED,
phase56-SUBPROCESS_SERIAL_BASELINE-a4-warmup-2,SUBPROCESS_SERIAL_BASELINE,WARMUP,2,4,2,396356.641,40.368,14091327.077,30.225,6172.000,156808.000,MEASURED,"Error: target PID 266188 is unavailable for one sample.
Error: target PID 266186 is unavailable for one sample."
phase56-SUBPROCESS_SERIAL_BASELINE-a4-warmup-3,SUBPROCESS_SERIAL_BASELINE,WARMUP,3,4,2,346246.035,46.210,15058240.965,30.513,6276.000,156808.000,MEASURED,"Error: target PID 266260 is unavailable for one sample.
Error: target PID 266262 is unavailable for one sample."
