variant,application_count,measurement_context,phase,component,operation_category,count,mean_us,median_us,min_us,max_us,stddev_us,status
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_application_state_persist,persistence,1,62.724,62.724,62.724,62.724,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_decision_compute,compute,1,0.245,0.245,0.245,0.245,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_history_cleanup,persistence,1,133.269,133.269,133.269,133.269,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_input_open_parse,compute,1,34.811,34.811,34.811,34.811,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_logging,persistence,1,38.031,38.031,38.031,38.031,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_output_history_write,persistence,1,64.134,64.134,64.134,64.134,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_state_load_or_initialize,persistence,1,292.852,292.852,292.852,292.852,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,p5_state_path_prepare,persistence,1,56.028,56.028,56.028,56.028,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase5,phase5_child_api_total,phase_envelope,1,862.449,862.449,862.449,862.449,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_confidence_gate,validation,3,0.679,0.509,0.408,1.121,0.386,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_history_cleanup,persistence,5,136.773,129.751,87.984,216.096,48.483,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_human_log_write,persistence,5,25.490,22.372,11.526,57.331,18.681,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_initialize,validation,1,1.625,1.625,1.625,1.625,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_input_open_parse,validation,1,39.282,39.282,39.282,39.282,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_input_row_parse,validation,5,11.390,12.086,5.462,19.545,5.649,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_logging_total,logging_envelope,5,272.781,235.754,158.083,464.475,114.860,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_output_history_write,persistence,5,76.929,70.431,40.043,140.396,41.357,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_roi_gate,validation,3,0.592,0.496,0.471,0.808,0.188,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_safety_gate,validation,3,0.774,0.734,0.563,1.024,0.233,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_shutdown,validation,1,0.401,0.401,0.401,0.401,NA,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,p6_validate_total,validation,5,9.797,11.364,1.275,20.610,8.338,MEASURED
SUBPROCESS_SERIAL_BASELINE,0,FIXTURE,phase6,phase6_child_validate_log,phase_envelope,5,291.848,252.918,165.591,494.470,122.591,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_application_state_persist,persistence,15,123.519,125.292,64.535,209.698,42.133,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_history_cleanup,persistence,15,256.369,246.417,165.580,386.936,68.466,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_input_open_parse,compute,15,44.029,40.017,29.876,79.167,14.325,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_logging,persistence,15,35.035,27.580,15.754,72.036,19.660,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_output_history_write,persistence,127,48.021,36.513,26.932,191.406,26.009,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_state_load_or_initialize,persistence,15,280.678,258.772,160.264,521.442,115.139,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,p5_state_path_prepare,persistence,15,24.169,23.567,17.026,35.855,4.792,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase5,phase5_child_api_total,phase_envelope,15,1475.392,1386.428,1086.940,2261.689,321.748,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_human_log_write,persistence,127,15.127,11.317,9.346,130.200,12.533,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_initialize,validation,15,1.244,1.110,0.922,2.200,0.349,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_input_open_parse,validation,15,38.207,34.066,29.574,75.404,11.537,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_input_row_parse,validation,127,6.693,5.394,3.741,27.285,3.134,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_logging_total,logging_envelope,127,92.157,54.000,42.246,2282.460,200.548,MEASURED
SUBPROCESS_SERIAL_BASELINE,1,MEASURED,phase6,p6_output_history_write,persistence,127,45.979,30.256,24.188,171.350,31.814,MEASURED
